historical_date,btc_return_1d,btc_return_30d,eth_return_1d,top500_breadth_30d,mkt_ret_1d,vol_med,top3_share,stablecoin_change_30d,top3_share_chg7,vol_p70,vol_p30,BTC_UP,BTC_DOWN,VOL_HIGH,VOL_LOW,BREADTH_EXPANDING,BREADTH_CONTRACTING,SC_INFLOW,SC_OUTFLOW,CONC_RISING,CONC_FALLING
2020-06-01 23:59:59,,,,0.0,0.0,,0.773759267138394,0.1580289481996464,,,,False,False,False,False,False,True,True,False,False,False
2020-06-02 23:59:59,-0.06269766333837123,,-0.03956690209804137,0.0,-0.05064646801383901,,0.7671643732970085,0.1462364766878479,,,,False,False,False,False,False,True,True,False,False,False
2020-06-03 23:59:59,0.013317547198181012,,0.029341076029506752,0.0,0.017054382717506603,,0.7666752846989671,0.14719641268422978,,,,False,False,False,False,False,True,True,False,False,False
2020-06-04 23:59:59,0.014903493460039607,,0.0010118118352617778,0.0,0.011928651450177137,,0.7672681808014277,0.1529657900546708,,,,False,False,False,False,False,True,True,False,False,False
2020-06-05 23:59:59,-0.01378520720832721,,-0.013109860403068052,0.0,-0.01073636604831594,,0.7657854632751422,0.15867854893433098,,,,False,False,False,False,False,True,True,False,False,False
2020-06-06 23:59:59,-0.0012263706500887928,,0.0029405625698744053,0.0,-0.0008035122176712261,,0.7653653226903782,0.15280993356827222,,,,False,False,False,False,False,True,True,False,False,False
2020-06-07 23:59:59,0.010894618640302944,,0.013375444809687886,0.0,0.009791076437946598,,0.7662034041625917,0.14414504531945682,,,,False,False,False,False,False,True,True,False,False,False
2020-06-08 23:59:59,0.0012949336376342213,,0.004660652584721703,0.0,0.0010411794454059852,,0.7671220930095587,0.12697555951567963,-0.006637174128835355,,,False,False,False,False,False,True,True,False,False,True
2020-06-09 23:59:59,0.0024776888938464747,,-0.00567758233906035,0.0,0.0027077178487187143,,0.7663163482440094,0.12082969155718137,-0.0008480250529990796,,,False,False,False,False,False,True,True,False,False,True
2020-06-10 23:59:59,0.007594582997832333,,0.010344513743153039,0.0,0.010323743364712363,,0.7649975627746238,0.10588584849184834,-0.001677721924343234,,,False,False,False,False,False,True,True,False,False,True
2020-06-11 23:59:59,-0.055552979478890596,,-0.06361930081374878,0.0,-0.05865093275194142,,0.769630333650783,0.08841530064228298,0.00236215284935537,,,False,False,False,False,False,True,True,False,True,False
2020-06-12 23:59:59,0.017063529614332884,,0.024991256572463927,0.0,0.020665314697599645,,0.7675221408315878,0.09307768689026208,0.001736677556445576,,,False,False,False,False,False,True,True,False,True,False
2020-06-13 23:59:59,-0.0005871261264959182,,0.005960728386007252,0.0,0.001313717336036188,,0.7632050131353404,0.07792855997087145,-0.002160309555037765,,,False,False,False,False,False,True,True,False,False,True
