chain,link,driver,outcome,lead_days,corr,perm_p,n,fdr_q
Ethereum,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,1,0.2949,0.0448,2195,0.1005
Ethereum,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,3,0.2707,0.0348,2193,0.0831
Ethereum,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,7,0.2373,0.1194,2189,0.211
Ethereum,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,14,0.2343,0.1194,2182,0.211
Ethereum,TVL_LEADS_NATIVE,tvl_chg7,improving_share,1,-0.0848,0.0149,2195,0.0499
Ethereum,TVL_LEADS_NATIVE,tvl_chg7,improving_share,3,-0.1132,0.005,2193,0.0253
Ethereum,TVL_LEADS_NATIVE,tvl_chg7,improving_share,7,-0.0951,0.0299,2189,0.0779
Ethereum,TVL_LEADS_NATIVE,tvl_chg7,improving_share,14,-0.0127,0.796,2182,0.8814
Ethereum,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,1,0.2056,0.005,2195,0.0253
Ethereum,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,3,0.1676,0.005,2193,0.0253
Ethereum,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,7,0.1016,0.0299,2189,0.0779
Ethereum,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,14,0.1537,0.005,2182,0.0253
Ethereum,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,1,0.2422,0.005,2144,0.0253
Ethereum,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,3,0.1518,0.005,2144,0.0253
Ethereum,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,7,-0.2341,0.005,2144,0.0253
Ethereum,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,14,-0.0028,0.8955,2137,0.9354
Ethereum,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,1,0.3168,0.0199,2195,0.0597
Ethereum,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,3,0.3282,0.0149,2193,0.0499
Ethereum,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,7,0.3469,0.0299,2189,0.0779
Ethereum,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,14,0.3892,0.0149,2182,0.0499
Ethereum,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,1,0.2181,0.01,2143,0.0391
Ethereum,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,3,0.1329,0.0199,2141,0.0597
Ethereum,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,7,-0.2577,0.005,2137,0.0253
Ethereum,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,14,-0.0295,0.2786,2130,0.4107
Tron,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,1,0.3121,0.01,2195,0.0391
Tron,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,3,0.2972,0.0149,2193,0.0499
Tron,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,7,0.2797,0.0199,2189,0.0597
Tron,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,14,0.2563,0.01,2182,0.0391
Tron,TVL_LEADS_NATIVE,tvl_chg7,improving_share,1,0.0225,0.6517,2195,0.7857
Tron,TVL_LEADS_NATIVE,tvl_chg7,improving_share,3,-0.0133,0.7612,2193,0.8576
Tron,TVL_LEADS_NATIVE,tvl_chg7,improving_share,7,-0.0537,0.2139,2189,0.3305
Tron,TVL_LEADS_NATIVE,tvl_chg7,improving_share,14,0.0014,0.9751,2182,0.9751
Tron,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,1,0.1039,0.0398,2195,0.0909
Tron,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,3,0.0204,0.5075,2193,0.6547
Tron,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,7,-0.03,0.2736,2189,0.408
Tron,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,14,0.0407,0.1493,2182,0.2469
Tron,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,1,0.3163,0.01,2144,0.0391
Tron,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,3,0.1977,0.01,2144,0.0391
Tron,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,7,-0.0512,0.1144,2144,0.2064
Tron,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,14,-0.0241,0.4478,2137,0.6049
Tron,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,1,0.3208,0.005,2195,0.0253
Tron,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,3,0.3186,0.005,2193,0.0253
Tron,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,7,0.3135,0.01,2189,0.0391
Tron,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,14,0.3082,0.0199,2182,0.0597
Tron,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,1,0.3418,0.005,2143,0.0253
Tron,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,3,0.2242,0.005,2141,0.0253
Tron,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,7,0.0142,0.6418,2137,0.7774
Tron,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,14,-0.008,0.806,2130,0.8849
Solana,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,1,0.2736,0.0348,1921,0.0831
Solana,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,3,0.2566,0.0348,1921,0.0831
Solana,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,7,0.2208,0.0398,1921,0.0909
Solana,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,14,0.2004,0.0597,1915,0.1242
