state,days
BTC_UP,1127
BTC_DOWN,962
VOL_HIGH,656
VOL_LOW,864
BREADTH_EXPANDING,715
BREADTH_CONTRACTING,1481
SC_INFLOW,1550
SC_OUTFLOW,646
CONC_RISING,1112
CONC_FALLING,1077
