cluster,name,share_global,share_chain_incremental,share_sector_incremental,share_idio,n_member_days
SECTOR,1confirmation-portfolio,0.1692,0.2475,0.001,0.5823,16101
SECTOR,2017-2018-alt-season,0.2896,0.0242,0.0016,0.6846,11271
SECTOR,a16z-portfolio,0.1331,0.2219,0.001,0.644,25022
SECTOR,aave-tokens,0.3485,0.0166,0.0094,0.6255,600
SECTOR,account-abstraction,0.14,0.1485,0.0168,0.6947,3089
SECTOR,ai-agent-launchpad,0.3661,0.0271,0.0659,0.5408,1450
SECTOR,ai-agents,0.0708,0.0232,0.0298,0.8762,4865
SECTOR,ai-applications,0.0004,0.0,0.0759,0.9237,1751
SECTOR,ai-big-data,0.0823,0.1644,0.0046,0.7487,51299
SECTOR,ai-memes,0.1048,0.0309,0.0808,0.7836,1869
SECTOR,alameda-research-portfolio,0.1203,0.246,0.0003,0.6334,38040
SECTOR,algorand-ecosystem,0.0776,0.1387,0.0552,0.7285,4858
SECTOR,algorithmic-stablecoin,0.0015,0.0093,0.0039,0.9852,7167
SECTOR,alleged-sec-securities,0.0615,0.09,0.0004,0.8481,16676
SECTOR,amm,0.0973,0.1948,0.002,0.7058,20462
SECTOR,analytics,0.0252,0.1097,0.5782,0.2869,777
SECTOR,animal-memes,0.1106,0.0073,0.2014,0.6807,8316
SECTOR,animoca-brands-portfolio,0.0649,0.2335,0.0077,0.6939,15903
SECTOR,aptos-ecosystem,0.1492,0.3001,0.168,0.3826,1987
SECTOR,arbitrum-ecosystem,0.2081,0.0269,0.0003,0.7647,19905
SECTOR,arbitrum-ecosytem,0.0516,0.2813,0.0012,0.6659,19888
SECTOR,arrington-xrp-capital,0.1953,0.0564,0.0061,0.7423,1923
SECTOR,arrington-xrp-capital-portfolio,0.0858,0.2864,0.0003,0.6275,20324
SECTOR,art,0.0411,0.0657,0.5103,0.3828,2016
SECTOR,asset-backed-stablecoin,0.0004,0.0018,0.001,0.9968,16683
SECTOR,asset-management,0.0551,0.0735,0.0263,0.8452,9169
SECTOR,atomic-swaps,0.0811,0.1198,0.471,0.3281,1727
SECTOR,aurora-ecosystem,0.5505,0.078,0.0085,0.3629,546
SECTOR,avalanche-ecosystem,0.0928,0.1036,0.0043,0.7993,10684
SECTOR,base-ecosystem,0.0121,0.0029,0.001,0.984,14632
SECTOR,binance-alpha,0.0175,0.0037,0.0041,0.9747,10266
SECTOR,binance-alpha-airdrops,0.1585,0.0593,0.0108,0.7715,3626
SECTOR,binance-chain,0.1155,0.104,0.0031,0.7774,14142
SECTOR,binance-ecosystem,0.2543,0.0603,0.0025,0.6829,42501
SECTOR,binance-labs-portfolio,0.1156,0.2273,0.0027,0.6545,12225
SECTOR,binance-launchpad,0.0023,0.0002,0.0,0.9975,8849
SECTOR,binance-launchpool,0.0775,0.3047,0.0122,0.6056,10250
SECTOR,binance-smart-chain,0.0632,0.042,0.0012,0.8936,17164
SECTOR,bitcoin-ecosystem,0.041,0.4294,0.0014,0.5282,8972
SECTOR,blake256,0.2715,0.1974,0.1575,0.3735,1170
SECTOR,blake2b,0.154,0.1878,0.1306,0.5276,3364
SECTOR,blake2s,0.0466,0.1024,0.6644,0.1866,936
SECTOR,blast-ecosystem,0.0632,0.4728,0.1138,0.3502,660
SECTOR,blockchain-capital-portfolio,0.143,0.2015,0.0641,0.5914,3572
SECTOR,bnb-chain,0.0226,0.0074,0.0,0.97,30185
SECTOR,bnb-chain-ecosystem,0.0698,0.0144,0.0001,0.9157,11689
SECTOR,boostvc-portfolio,0.0945,0.1571,0.0247,0.7237,4878
SECTOR,cardano,0.0794,0.2512,0.1114,0.558,2959
SECTOR,cardano-ecosystem,0.104,0.6359,0.0178,0.2423,1736
SECTOR,cat-themed,0.0486,0.2024,0.0589,0.69,1023
SECTOR,centralized-exchange,0.0918,0.0894,0.0551,0.7638,13517
SECTOR,chromia-ecosystem,0.3985,0.0083,0.2901,0.303,702
SECTOR,cmc-crypto-awards-2024,0.1137,0.3877,0.041,0.4576,755
SECTOR,cmc-crypto-yearbook-2024-2025,0.431,0.0604,0.0,0.5086,888
SECTOR,cms-holdings-portfolio,0.2602,0.1404,0.217,0.3824,562
SECTOR,coinbase-ventures-portfolio,0.0735,0.178,0.0156,0.7329,7950
SECTOR,coinfund-portfolio,0.1157,0.0171,0.0423,0.8248,1312
SECTOR,collectibles-nfts,0.0689,0.1478,0.0136,0.7697,32479
SECTOR,communications-social-media,0.2292,0.0248,0.3891,0.3568,664
SECTOR,content-creation,0.095,0.1158,0.0037,0.7855,15814
SECTOR,cosmos-ecosystem,0.1179,0.2342,0.0044,0.6435,11320
SECTOR,cronos-ecosystem,0.2612,0.028,0.3933,0.3174,943
SECTOR,cross-chain,0.0889,0.3654,0.1764,0.3693,1311
SECTOR,crowdfunding,0.1266,0.1251,0.1072,0.641,3780
SECTOR,cybersecurity,0.1507,0.1931,0.1766,0.4795,1427
SECTOR,dag,0.0926,0.2139,0.0631,0.6304,5129
SECTOR,dao,0.1077,0.1361,0.0231,0.7331,11709
SECTOR,dao-maker,0.0574,0.1628,0.4692,0.3106,1267
SECTOR,dapp,0.0484,0.0807,0.5993,0.2717,1596
SECTOR,data-provenance,0.1728,0.259,0.0908,0.4774,1958
SECTOR,dcg-portfolio,0.1217,0.1695,0.1868,0.522,2558
SECTOR,decentralized-exchange,0.1715,0.0479,0.0043,0.7764,6405
SECTOR,decentralized-exchange-dex-token,0.0524,0.3099,0.0124,0.6253,3999
SECTOR,defi,0.0474,0.172,0.0079,0.7727,46693
SECTOR,depin,0.0834,0.2026,0.0159,0.6981,5270
