,STABLECOIN_PARKING,CAPITAL_EXIT,BROAD_RISK_EXPANSION,NARROW_LEADERSHIP,ETH_BROADENING,LARGE_ALT_ROTATION,MID_CAP_ROTATION,SMALL_CAP_ROTATION,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE
STABLECOIN_PARKING,119,0,0,7,3,1,0,0,0,25
CAPITAL_EXIT,0,74,0,1,0,3,0,0,0,6
BROAD_RISK_EXPANSION,0,0,172,0,15,4,6,1,2,11
NARROW_LEADERSHIP,5,0,0,47,10,3,0,0,8,25
ETH_BROADENING,6,0,16,12,89,0,2,0,1,13
LARGE_ALT_ROTATION,1,3,7,3,0,56,3,1,1,9
MID_CAP_ROTATION,2,0,7,1,0,1,45,1,8,10
SMALL_CAP_ROTATION,0,0,0,0,0,0,2,2,0,2
BTC_CONCENTRATION,0,0,3,4,1,6,12,0,446,99
MIXED_NO_CLEAR_ROUTE,22,7,6,23,21,10,5,1,106,571
