from_band,to_band,n_events,success_rate_14d
11-25,1-10,191,0.5079
26-50,1-10,1,0.0
26-50,11-25,727,0.4746
51-100,1-10,1,0.0
51-100,11-25,4,0.75
51-100,26-50,1363,0.5048
101-200,26-50,16,0.5
101-200,51-100,2564,0.4668
201-300,1-10,1,1.0
201-300,11-25,2,1.0
201-300,26-50,23,0.7826
201-300,51-100,84,0.869
201-300,101-200,3566,0.4736
301-500,1-10,2,0.0
301-500,11-25,2,0.0
301-500,26-50,2,0.5
301-500,51-100,13,0.3077
301-500,101-200,1062,0.4605
301-500,201-300,10587,0.4738
