metric,band_a,band_b,state,state_days,lag_days,corr,perm_p,n,uncond_best_lag,uncond_best_corr,state_conditioned,workstream,fdr_q
ew_return_1d,1-10,11-25,BTC_UP,1127,-7,-0.0373,0.199,1084,-1,-0.1049,False,B,0.3239
ew_return_1d,1-10,11-25,BTC_UP,1127,-3,-0.0358,0.3085,1089,-1,-0.1049,False,B,0.4589
ew_return_1d,1-10,11-25,BTC_UP,1127,-1,-0.0891,0.01,1088,-1,-0.1049,False,B,0.0356
ew_return_1d,1-10,11-25,BTC_UP,1127,1,-0.0859,0.01,1088,-1,-0.1049,False,B,0.0356
ew_return_1d,1-10,11-25,BTC_UP,1127,3,-0.0054,0.8806,1089,-1,-0.1049,False,B,0.9209
ew_return_1d,1-10,11-25,BTC_UP,1127,7,-0.0339,0.2239,1084,-1,-0.1049,False,B,0.3578
ew_return_1d,1-10,11-25,BTC_DOWN,962,-7,0.0415,0.1791,926,-1,-0.1049,False,B,0.2998
ew_return_1d,1-10,11-25,BTC_DOWN,962,-3,-0.0817,0.01,929,-1,-0.1049,False,B,0.0356
ew_return_1d,1-10,11-25,BTC_DOWN,962,-1,-0.1444,0.005,932,-1,-0.1049,False,B,0.0241
ew_return_1d,1-10,11-25,BTC_DOWN,962,1,-0.1459,0.005,932,-1,-0.1049,False,B,0.0241
ew_return_1d,1-10,11-25,BTC_DOWN,962,3,-0.1007,0.0199,929,-1,-0.1049,True,B,0.0566
ew_return_1d,1-10,11-25,BTC_DOWN,962,7,0.0153,0.6318,926,-1,-0.1049,False,B,0.7345
ew_return_1d,1-10,11-25,VOL_HIGH,656,-7,0.0131,0.7313,622,-1,-0.1049,False,B,0.8192
ew_return_1d,1-10,11-25,VOL_HIGH,656,-3,-0.0517,0.1592,625,-1,-0.1049,False,B,0.2756
ew_return_1d,1-10,11-25,VOL_HIGH,656,-1,-0.1676,0.005,628,-1,-0.1049,False,B,0.0241
ew_return_1d,1-10,11-25,VOL_HIGH,656,1,-0.1863,0.005,628,-1,-0.1049,False,B,0.0241
ew_return_1d,1-10,11-25,VOL_HIGH,656,3,-0.0755,0.0995,625,-1,-0.1049,False,B,0.1909
ew_return_1d,1-10,11-25,VOL_HIGH,656,7,-0.0133,0.801,622,-1,-0.1049,False,B,0.8685
