metric,band,common_factor_r2,n_days
ew_return_1d,1-10,0.8689,2095
ew_return_1d,11-25,0.7825,2095
ew_return_1d,26-50,0.7746,2095
ew_return_1d,51-100,0.7588,2095
ew_return_1d,101-200,0.7462,2095
ew_return_1d,201-300,0.7968,2095
ew_return_1d,301-500,0.7482,2095
rank_velocity_7d,1-10,0.0077,2068
rank_velocity_7d,11-25,0.0335,2068
rank_velocity_7d,26-50,0.1165,2068
rank_velocity_7d,51-100,0.1032,2068
rank_velocity_7d,101-200,0.078,2068
rank_velocity_7d,201-300,0.0041,2068
rank_velocity_7d,301-500,0.0255,2068
breadth_7d,1-10,0.1806,2095
breadth_7d,11-25,0.207,2095
breadth_7d,26-50,0.2008,2095
breadth_7d,51-100,0.2333,2095
breadth_7d,101-200,0.2192,2095
breadth_7d,201-300,0.2202,2095
breadth_7d,301-500,0.2243,2095
