pattern,forward_window_d,n_pattern_days,n_complement_days,mean_fwd_btc_ret30_pattern,mean_fwd_btc_ret30_complement,mean_fwd_band_11_25_minus_301_500_pattern,mean_fwd_band_11_25_minus_301_500_complement,mean_asset_fwd_ret14,mean_asset_fwd_ret30
BREADTH_AND_CONCENTRATION,7,534.0,1662.0,0.09235,0.02268,8.3905,5.1769,,
BREADTH_AND_CONCENTRATION,14,534.0,1662.0,0.09849,0.02086,4.01451,6.56296,,
BREADTH_AND_CONCENTRATION,30,534.0,1662.0,0.04978,0.03672,5.59823,6.09367,,
LOWER_RANK_ACCELERATION,7,0.0,2196.0,,0.03985,,5.95033,,
LOWER_RANK_ACCELERATION,14,0.0,2196.0,,0.03985,,5.94642,,
LOWER_RANK_ACCELERATION,30,0.0,2196.0,,0.03985,,5.97478,,
VELOCITY_WITHOUT_SHARE,14,303280.0,,,,,,0.0259,0.05588
VELOCITY_WITHOUT_SHARE,14,,794720.0,,,,,0.02998,0.06129
