metric,band_a,band_b,variant,best_lag_days_a_leads_b,best_corr,boot_ci_low,boot_ci_high,raw_p,n_days,classification,raw_lag,resid_lag,resid_corr,raw_corr,fdr_q
ew_return_1d,1-10,11-25,RAW,0,0.9321,0.9206,0.9444,0.002,2161.0,STRUCTURAL_LEAD_LAG,0,0,0.8635,0.9321,0.0022
ew_return_1d,1-10,11-25,RESID,0,0.8635,0.5713,0.9342,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.8635,0.9321,0.0022
ew_return_1d,1-10,26-50,RAW,0,0.9262,0.9091,0.9394,0.002,2161.0,STRUCTURAL_LEAD_LAG,0,0,0.8577,0.9262,0.0022
ew_return_1d,1-10,26-50,RESID,0,0.8577,0.5643,0.9257,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.8577,0.9262,0.0022
ew_return_1d,1-10,51-100,RAW,0,0.9184,0.9008,0.9338,0.002,2161.0,STRUCTURAL_LEAD_LAG,0,0,0.8597,0.9184,0.0022
ew_return_1d,1-10,51-100,RESID,0,0.8597,0.553,0.935,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.8597,0.9184,0.0022
ew_return_1d,1-10,101-200,RAW,0,0.9068,0.8875,0.9263,0.002,2161.0,STRUCTURAL_LEAD_LAG,0,0,0.8422,0.9068,0.0022
ew_return_1d,1-10,101-200,RESID,0,0.8422,0.5153,0.9272,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.8422,0.9068,0.0022
ew_return_1d,1-10,201-300,RAW,0,0.9106,0.888,0.9271,0.002,2161.0,STRUCTURAL_LEAD_LAG,0,0,0.7963,0.9106,0.0022
ew_return_1d,1-10,201-300,RESID,0,0.7963,0.4503,0.9106,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.7963,0.9106,0.0022
ew_return_1d,1-10,301-500,RAW,0,0.7951,0.6079,0.9213,0.002,2161.0,STRUCTURAL_LEAD_LAG,0,0,0.8265,0.7951,0.0022
ew_return_1d,1-10,301-500,RESID,0,0.8265,0.4915,0.9153,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.8265,0.7951,0.0022
ew_return_1d,11-25,26-50,RAW,0,0.9572,0.9492,0.9656,0.002,2161.0,STRUCTURAL_LEAD_LAG,0,0,0.9401,0.9572,0.0022
ew_return_1d,11-25,26-50,RESID,0,0.9401,0.7544,0.9754,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.9401,0.9572,0.0022
ew_return_1d,11-25,51-100,RAW,0,0.9588,0.9507,0.9673,0.002,2161.0,STRUCTURAL_LEAD_LAG,0,0,0.9489,0.9588,0.0022
