coordinate,n,median,p25,p75,down_med,up_med,verdict
latency_T1,3527,1.0,1.0,1.0,1.0,1.0,
peak_time_T3,3647,3.0,1.0,14.0,3.0,3.0,
radius_T7,3647,0.375,0.1,0.6667,0.3,0.4,
breadth_T7,3647,0.5,0.3,0.8,0.5,0.5,
depth_T30,3647,0.0008,0.0,0.1221,0.0003,0.0101,
persistence_T30,3647,0.5,0.3,0.8,0.5,0.6,
CONT_SPEED,3647,0.0,0.0,0.1,0.0,0.0,
CONT_RADIUS,3647,0.375,0.1,0.6667,0.3,0.4,
CONT_DEPTH,3647,0.0008,0.0,0.1221,0.0003,0.0101,
CONT_PERSIST,3647,0.5,0.3,0.8,0.5,0.6,
CONT_DECAY,3647,0.0,-0.2,0.2222,0.0,0.0,
G1_fraction,3647,0.5,0.3,0.7,0.5,0.5,
G2_fraction,3647,0.0,-0.2,0.2,0.0,0.0,
G3_fraction,3647,0.0,-0.2,0.2,0.0,0.0,
VERDICT,3647,REDUNDANT_COORDINATES,1.0,,,,
