species,n,n_subperiods,meets_support_bar,med_abs,med_z1,med_liq,med_vol,med_rank,p_contagion,silhouette
SHOCK_SP0,293,5.0,YES,0.4371,2.8105,10.5272,0.1748,527.0,0.2867,
SHOCK_SP1,1171,5.0,YES,0.1377,2.4809,10.2002,0.0523,686.0,0.3245,
SHOCK_SP2,140,5.0,YES,0.4471,9.8201,11.6503,0.0445,229.5,0.2643,
SHOCK_SP3,1952,5.0,YES,0.1077,2.5245,12.3633,0.0402,128.0,0.252,
VERDICT,3556,,FEW_FAMILIES_WITH_CONTINUOUS_OVERLAY,,,,,,,0.3603
