side,alpha,r2_log,scaling,n
ALL,0.1367,0.5582,WEAK_SCALING,3647
DOWN,0.138,0.5262,WEAK_SCALING,2462
UP,0.1342,0.6179,WEAK_SCALING,1185
HIGH_CAP,0.1466,0.5897,WEAK,1824
LOW_CAP,0.1278,0.5231,WEAK,1823
