exit_path,n,rate
REJOIN_OLD,0,0.0
RANK_DETERIORATION,284,0.2793
NORMALIZED_PRICE,0,0.0
NEW_NEIGHBORHOOD,0,0.0
CONTINUE_ISOLATION,1017,1.0
