rank_health,liquidity,n,p_absorbed,p_propagated,p_persistent,med_radius,down_minus_up_gap,vs_global_gap
DAMAGED,DEEP,207,0.0242,0.2222,0.1981,0.4,,
DAMAGED,THIN,1614,0.0328,0.3209,0.2125,0.4,,
HEALTHY,DEEP,1571,0.1343,0.2463,0.352,0.3,,
HEALTHY,THIN,255,0.0784,0.2745,0.3137,0.3333,,
ASYM:DAMAGED,DEEP,207,,,,,0.0673,-0.1362
ASYM:DAMAGED,THIN,1614,,,,,0.2694,0.0659
ASYM:HEALTHY,DEEP,1571,,,,,0.174,-0.0294
ASYM:HEALTHY,THIN,255,,,,,0.2799,0.0765
