struct_integrity,accumulated_load,n,p_absorbed,p_reorganized,p_propagated,p_persistent,med_abs,n_subperiods_checked,p_absorbed_med,p_propagated_med
SI_LOW,LOAD_Q1,490,0.0082,0.4122,0.298,0.2551,0.1858,,,
SI_LOW,LOAD_Q2,444,0.0,0.4527,0.2793,0.2095,0.1424,,,
SI_LOW,LOAD_Q3,145,0.0276,0.3517,0.3103,0.2759,0.1339,,,
SI_LOW,LOAD_Q4,137,0.0365,0.3577,0.3577,0.2628,0.224,,,
SI_MID,LOAD_Q1,260,0.0346,0.35,0.2192,0.3462,0.1537,,,
SI_MID,LOAD_Q2,335,0.009,0.3821,0.2866,0.2896,0.1366,,,
SI_MID,LOAD_Q3,312,0.0673,0.3013,0.2724,0.2917,0.079,,,
SI_MID,LOAD_Q4,308,0.1461,0.3117,0.3117,0.2208,0.1737,,,
SI_HIGH,LOAD_Q1,162,0.1049,0.284,0.216,0.3642,0.135,,,
SI_HIGH,LOAD_Q2,133,0.0526,0.3383,0.2406,0.3534,0.1158,,,
SI_HIGH,LOAD_Q3,454,0.152,0.1652,0.3326,0.304,0.0182,,,
SI_HIGH,LOAD_Q4,467,0.2248,0.2163,0.2248,0.2848,0.1265,,,
VERDICT,STABLE_LOCAL_CAPACITY_SURFACE,3647,,,,,,5.0,0.0792,0.28
