churn,abs_band,n,p_absorbed,p_propagated,p_persistent,med_capacity
HIGH_CHURN,HIGH_MAG,1839,0.0,0.2735,0.2616,0.3
HIGH_CHURN,LOW_MAG,210,0.0,0.3381,0.2571,0.3
STABLE,HIGH_MAG,1084,0.1946,0.2445,0.2906,0.6
STABLE,LOW_MAG,514,0.1518,0.3541,0.3249,0.6
VERDICT,HIGH_MAG,2922,,,,
