covariates,n,n_cov,down_log_odds
RAW,3647,0,1.147
+ABS,3647,1,1.146
+LIQ,3556,2,1.083
+CORRELATION,3556,3,1.06
+CHURN,3555,4,1.05
+MECH,3555,9,0.954
VERDICT,3647,9,IRREDUCIBLE_AFTER_MECHANICS
