load_q,resistance,n,p_absorbed,p_reorganized,p_propagated,p_persistent,p_rejoin
0.0,R_LOW,224,0.0134,0.3973,0.1027,0.4866,0.1607
0.0,R_MID,302,0.0662,0.2285,0.0695,0.6358,0.1026
0.0,R_HIGH,386,0.1528,0.1606,0.0829,0.6036,0.1788
1.0,R_LOW,310,0.0161,0.4548,0.1,0.429,0.129
1.0,R_MID,319,0.0627,0.3918,0.0846,0.4608,0.1693
1.0,R_HIGH,283,0.1519,0.2473,0.0848,0.5159,0.1272
2.0,R_LOW,330,0.0,0.4576,0.103,0.4394,0.1424
2.0,R_MID,293,0.058,0.3823,0.0887,0.471,0.1195
2.0,R_HIGH,288,0.1389,0.2465,0.0799,0.5347,0.1528
3.0,R_LOW,352,0.0142,0.3466,0.0881,0.5511,0.0795
3.0,R_MID,301,0.0698,0.3422,0.0864,0.5017,0.1462
3.0,R_HIGH,259,0.2162,0.2471,0.0849,0.4517,0.1699
,VERDICT,3647,STABLE_RESPONSE_REGIONS,,,,
