dimension,level,n,p_absorbed,p_propagated,p_persistent,med_capacity
RANK_DEPTH,DEEP,593,0.0118,0.3238,0.2007,0.0073
RANK_DEPTH,MID,1219,0.041,0.3043,0.2158,0.3
RANK_DEPTH,SHALLOW,1835,0.1264,0.2496,0.346,0.6
GLOBAL_STATE,M6_A,707,0.0849,0.2885,0.2532,0.3
GLOBAL_STATE,M6_B,436,0.0917,0.2408,0.2729,0.3023
GLOBAL_STATE,M6_C,857,0.0665,0.3011,0.2894,0.3363
GLOBAL_STATE,M6_D,244,0.0902,0.3115,0.2418,0.3
GLOBAL_STATE,M6_E,902,0.0809,0.2639,0.3016,0.4
GLOBAL_STATE,M6_F,501,0.0739,0.2794,0.2794,0.3
SHOCK_SPECIES,DEEP_ILLIQ_STRESSED,660,0.0197,0.3348,0.2242,0.0212
SHOCK_SPECIES,SHALLOW_QUIET,2987,0.0924,0.2678,0.2909,0.4433
DIRECTION,DOWN,2462,0.0755,0.3461,0.1665,0.3
DIRECTION,UP,1185,0.0869,0.1426,0.5122,0.6
LIQUIDITY,LIQ_DEEP,1216,0.028,0.3396,0.2171,0.1454
LIQUIDITY,LIQ_NORM,1215,0.0675,0.2593,0.2716,0.3
LIQUIDITY,LIQ_THIN,1216,0.1423,0.241,0.3479,0.6
NEIGHBORHOOD_STRESS,0.0,2964,0.0914,0.2807,0.2777,0.3722
NEIGHBORHOOD_STRESS,1.0,683,0.0264,0.2767,0.284,0.3
VERDICT,REGIME_LOCAL_CAPACITY,3647,,,,
