anchor_family,stage,variant,boundary,n,p_cont_6
PIVOT5,development,RKEY_A,1.0,381,0.6115485564304461
PIVOT5,development,RKEY_B,1.0,402,0.6144278606965174
PIVOT5,development,RKEY_C,1.0,205,0.8390243902439024
PIVOT5,confirmation,RKEY_A,1.0,283,0.6113074204946997
PIVOT5,confirmation,RKEY_B,1.0,293,0.6006825938566553
PIVOT5,confirmation,RKEY_C,1.0,146,0.815068493150685
