variant,boundary,promoted_to_P7,evidence_category,reason
RKEY_A,1.0,False,REDUNDANT,"N=215, delta_dev=0.511 (0.437,0.586), delta_conf=0.587"
RKEY_B,1.0,False,REDUNDANT,"N=246, delta_dev=0.394 (0.289,0.496), delta_conf=0.329"
RKEY_C,1.0,False,INSUFFICIENT_N,"N=20, delta_dev=0.498 (0.299,0.673), delta_conf=0.478"
RKEY_A,2.0,False,REDUNDANT,"N=93, delta_dev=0.473 (0.366,0.581), delta_conf=0.535"
RKEY_B,2.0,False,REDUNDANT,"N=101, delta_dev=0.430 (0.317,0.533), delta_conf=0.366"
RKEY_C,2.0,False,INSUFFICIENT_N,"N=3, delta_dev=0.881 (0.847,0.912), delta_conf=nan"
