stage,boundary,variant,n,entropy_new_state_h6,entropy_old_state_h6,entropy_reduction,mean_state_new_h6,mean_state_old_h6,mean_persist_dur,mean_abs_disp_A_win,mean_abs_disp_B_win
development,1.0,RKEY_A,215,2.7502287314810516,2.8945736269569955,0.14434489547594387,2.088372093023256,2.3627906976744186,59.76744186046512,1.8397689028140578,2.3543094320720233
development,1.0,RKEY_B,246,2.864865649947178,3.0293810934038126,0.1645154434566347,2.296747967479675,2.6747967479674797,58.6910569105691,1.954599028495857,2.5276442502411203
development,1.0,RKEY_C,20,1.9393538721672012,2.6904685707328277,0.7511146985656265,1.15,2.5,77.9,1.4389167102448996,2.9653925111972734
development,2.0,RKEY_A,93,2.91399591855055,3.0872320081824034,0.17323608963185322,2.4731182795698925,3.0,114.35483870967742,2.1186189192925164,2.98957786779239
development,2.0,RKEY_B,101,2.8484409055800937,3.1226872577085323,0.2742463521284386,2.3564356435643563,3.089108910891089,125.04950495049505,2.0243460328833227,3.102021853409695
development,2.0,RKEY_C,3,0.9182958340544896,0.9182958340544896,0.0,0.6666666666666666,4.333333333333333,428.0,1.1018627911871182,4.325248794338522
confirmation,1.0,RKEY_A,167,2.4724484904711166,2.735782705413394,0.26333421494227727,1.6047904191616766,2.0838323353293413,80.8502994011976,1.5914385817908239,2.27268018319152
confirmation,1.0,RKEY_B,170,2.436724268118803,2.7452612827700573,0.30853701465125427,1.5823529411764705,2.1058823529411765,77.91176470588235,1.5765136858228161,2.317462414027774
confirmation,1.0,RKEY_C,12,2.2841591278514217,2.792481250360578,0.5083221225091563,2.1666666666666665,3.4166666666666665,8.916666666666666,1.712473307009889,3.145430562022439
confirmation,2.0,RKEY_A,71,2.6693302693525083,2.970609004565859,0.3012787352133506,2.0140845070422535,2.8028169014084505,153.56338028169014,1.838977857878249,2.9386081959825057
confirmation,2.0,RKEY_B,70,2.536153370938728,2.92340353742044,0.3872501664817123,1.8142857142857143,2.657142857142857,156.04285714285714,1.7005722821146436,2.8640261125703077
