stage,boundary,variant,from_state,to_state,count,prob
development,1.0,RKEY_A,0,0,0,
development,1.0,RKEY_A,0,1,0,
development,1.0,RKEY_A,0,2,0,
development,1.0,RKEY_A,0,3,0,
development,1.0,RKEY_A,0,4,0,
development,1.0,RKEY_A,1,0,47,0.35074626865671643
development,1.0,RKEY_A,1,1,42,0.31343283582089554
development,1.0,RKEY_A,1,2,24,0.1791044776119403
development,1.0,RKEY_A,1,3,15,0.11194029850746269
development,1.0,RKEY_A,1,4,6,0.04477611940298507
development,1.0,RKEY_A,2,0,10,0.23809523809523808
development,1.0,RKEY_A,2,1,12,0.2857142857142857
development,1.0,RKEY_A,2,2,10,0.23809523809523808
development,1.0,RKEY_A,2,3,2,0.047619047619047616
development,1.0,RKEY_A,2,4,8,0.19047619047619047
development,1.0,RKEY_A,3,0,2,0.2222222222222222
development,1.0,RKEY_A,3,1,4,0.4444444444444444
development,1.0,RKEY_A,3,2,1,0.1111111111111111
development,1.0,RKEY_A,3,3,1,0.1111111111111111
development,1.0,RKEY_A,3,4,1,0.1111111111111111
development,1.0,RKEY_A,4,0,1,0.3333333333333333
development,1.0,RKEY_A,4,1,0,0.0
development,1.0,RKEY_A,4,2,2,0.6666666666666666
development,1.0,RKEY_A,4,3,0,0.0
development,1.0,RKEY_A,4,4,0,0.0
development,1.0,RKEY_B,0,0,0,
development,1.0,RKEY_B,0,1,0,
development,1.0,RKEY_B,0,2,0,
development,1.0,RKEY_B,0,3,0,
development,1.0,RKEY_B,0,4,0,
development,1.0,RKEY_B,1,0,45,0.3082191780821918
development,1.0,RKEY_B,1,1,44,0.3013698630136986
development,1.0,RKEY_B,1,2,29,0.19863013698630136
development,1.0,RKEY_B,1,3,19,0.13013698630136986
development,1.0,RKEY_B,1,4,9,0.06164383561643835
development,1.0,RKEY_B,2,0,14,0.3111111111111111
development,1.0,RKEY_B,2,1,13,0.28888888888888886
development,1.0,RKEY_B,2,2,9,0.2
development,1.0,RKEY_B,2,3,4,0.08888888888888889
development,1.0,RKEY_B,2,4,5,0.1111111111111111
development,1.0,RKEY_B,3,0,7,0.5
development,1.0,RKEY_B,3,1,5,0.35714285714285715
development,1.0,RKEY_B,3,2,1,0.07142857142857142
development,1.0,RKEY_B,3,3,1,0.07142857142857142
development,1.0,RKEY_B,3,4,0,0.0
development,1.0,RKEY_B,4,0,2,0.4
development,1.0,RKEY_B,4,1,1,0.2
development,1.0,RKEY_B,4,2,2,0.4
development,1.0,RKEY_B,4,3,0,0.0
development,1.0,RKEY_B,4,4,0,0.0
development,1.0,RKEY_C,0,0,0,
development,1.0,RKEY_C,0,1,0,
development,1.0,RKEY_C,0,2,0,
development,1.0,RKEY_C,0,3,0,
development,1.0,RKEY_C,0,4,0,
development,1.0,RKEY_C,1,0,0,
development,1.0,RKEY_C,1,1,0,
development,1.0,RKEY_C,1,2,0,
development,1.0,RKEY_C,1,3,0,
development,1.0,RKEY_C,1,4,0,
development,1.0,RKEY_C,2,0,5,0.35714285714285715
development,1.0,RKEY_C,2,1,4,0.2857142857142857
development,1.0,RKEY_C,2,2,2,0.14285714285714285
development,1.0,RKEY_C,2,3,1,0.07142857142857142
development,1.0,RKEY_C,2,4,2,0.14285714285714285
development,1.0,RKEY_C,3,0,2,0.4
development,1.0,RKEY_C,3,1,3,0.6
development,1.0,RKEY_C,3,2,0,0.0
development,1.0,RKEY_C,3,3,0,0.0
development,1.0,RKEY_C,3,4,0,0.0
development,1.0,RKEY_C,4,0,0,0.0
development,1.0,RKEY_C,4,1,1,1.0
development,1.0,RKEY_C,4,2,0,0.0
development,1.0,RKEY_C,4,3,0,0.0
development,1.0,RKEY_C,4,4,0,0.0
development,2.0,RKEY_A,0,0,0,
development,2.0,RKEY_A,0,1,0,
development,2.0,RKEY_A,0,2,0,
development,2.0,RKEY_A,0,3,0,
