stage,variant,boundary,n_outcomes,n_catalog,p_cont_6,p_rej_6,mean_persist,entropy_new_h6,p_cont_A_6,delta_cont_B_minus_A,delta_cont_lo,delta_cont_hi,p_rej_A_6
development,RKEY_A,1.0,215,215,0.538961038961039,0.8084415584415584,59.76744186046512,2.7502287314810516,,,,,
development,RKEY_B,1.0,246,246,0.5763688760806917,0.7867435158501441,58.6910569105691,2.864865649947178,,,,,
development,RKEY_C,1.0,20,20,0.782608695652174,0.6086956521739131,77.9,1.9393538721672012,,,,,
development,B_vs_A_MATCHED,1.0,172,172,0.5523255813953488,0.8430232558139535,,,0.5581395348837209,-0.005813953488372103,-0.1104651162790698,0.09302325581395354,0.8081395348837209
development,A_CONFIRMED_B,1.0,172,172,0.5581395348837209,0.8081395348837209,,,,,,,
development,A_UNCONFIRMED_B,1.0,43,43,0.5581395348837209,0.8372093023255814,,,,,,,
development,RKEY_A,2.0,93,93,0.538961038961039,0.8084415584415584,114.35483870967742,2.91399591855055,,,,,
development,RKEY_B,2.0,101,101,0.5763688760806917,0.7867435158501441,125.04950495049505,2.8484409055800937,,,,,
development,RKEY_C,2.0,3,3,0.782608695652174,0.6086956521739131,428.0,0.9182958340544896,,,,,
development,B_vs_A_MATCHED,2.0,85,85,0.49411764705882355,0.8117647058823529,,,0.49411764705882355,0.0,-0.1411764705882353,0.15294117647058825,0.8117647058823529
development,A_CONFIRMED_B,2.0,85,85,0.49411764705882355,0.8117647058823529,,,,,,,
development,A_UNCONFIRMED_B,2.0,8,8,0.5,0.625,,,,,,,
confirmation,RKEY_A,1.0,167,167,0.5882352941176471,0.8067226890756303,80.8502994011976,2.4724484904711166,,,,,
confirmation,RKEY_B,1.0,170,170,0.5875,0.7958333333333333,77.91176470588235,2.436724268118803,,,,,
confirmation,RKEY_C,1.0,12,12,0.75,0.5833333333333334,8.916666666666666,2.2841591278514217,,,,,
confirmation,B_vs_A_MATCHED,1.0,131,131,0.6259541984732825,0.816793893129771,,,0.648854961832061,-0.022900763358778553,-0.1450381679389312,0.09179389312976999,0.7938931297709924
confirmation,A_CONFIRMED_B,1.0,131,131,0.648854961832061,0.7938931297709924,,,,,,,
confirmation,A_UNCONFIRMED_B,1.0,36,36,0.4166666666666667,0.9166666666666666,,,,,,,
confirmation,RKEY_A,2.0,71,71,0.5882352941176471,0.8067226890756303,153.56338028169014,2.6693302693525083,,,,,
confirmation,RKEY_B,2.0,70,70,0.5875,0.7958333333333333,156.04285714285714,2.536153370938728,,,,,
confirmation,B_vs_A_MATCHED,2.0,64,64,0.546875,0.796875,,,0.546875,0.0,-0.171875,0.171875,0.796875
confirmation,A_CONFIRMED_B,2.0,64,64,0.546875,0.796875,,,,,,,
confirmation,A_UNCONFIRMED_B,2.0,7,7,0.7142857142857143,0.5714285714285714,,,,,,,
