episode_id,variant,boundary,direction,known_pos,state_A_at_h,state_B_at_h,abs_disp_A_at_h,abs_disp_B_at_h,mean_abs_disp_A_win,mean_abs_disp_B_win,persist_dur,stage
RK-A-d+1-b1-e113-k113,RKEY_A,1.0,1,113,1.0,5.0,1.7693728556133017,5.111177755265963,1.8493925318643585,5.191197431516918,14.0,development
RK-A-d+1-b1-e138-k138,RKEY_A,1.0,1,138,1.0,3.0,1.3646776929362308,3.4485251382615894,1.0132097145638619,3.0740719184647882,0.0,development
RK-A-d+1-b1-e149-k149,RKEY_A,1.0,1,149,2.0,0.0,2.393397810420709,0.9876980589926405,1.0842905805862753,1.0145294077003444,0.0,development
RK-A-d+1-b1-e204-k204,RKEY_A,1.0,1,204,2.0,3.0,2.4719095633599704,3.9324125715367475,1.5346857232558788,2.9415796492970476,0.0,development
RK-A-d+1-b1-e208-k208,RKEY_A,1.0,1,208,4.0,6.0,4.529080765545024,6.586933535034371,2.265252765826166,4.252672374724633,1.0,development
RK-A-d+1-b1-e211-k211,RKEY_A,1.0,1,211,2.0,4.0,2.7090737297552887,4.1519227467000785,2.495409369478599,3.938258386423572,93.0,development
RK-A-d+1-b1-e220-k220,RKEY_A,1.0,1,220,1.0,0.0,1.8571694682749758,0.782195946733664,1.5966298143073148,1.596629814307349,3.0,development
RK-A-d+1-b1-e222-k222,RKEY_A,1.0,1,222,2.0,1.0,2.709126011664316,1.614766100326639,3.2729202237047548,2.178560312366981,0.0,development
RK-A-d+1-b1-e442-k442,RKEY_A,1.0,1,442,8.0,6.0,8.454553989208742,6.7263620957702095,2.675935170570027,3.2519991350495387,4.0,development
RK-A-d+1-b1-e592-k592,RKEY_A,1.0,1,592,0.0,1.0,0.3482506488856819,1.448701602103238,1.019255801731629,2.622740742050062,4.0,development
RK-A-d+1-b1-e682-k682,RKEY_A,1.0,1,682,5.0,7.0,5.439551654932501,7.12716460338737,3.326154343621999,5.013767292076877,9.0,development
RK-A-d+1-b1-e685-k685,RKEY_A,1.0,1,685,2.0,1.0,2.5627694324066153,1.2640062102578073,2.176050408601721,1.7431293345520957,0.0,development
RK-A-d+1-b1-e874-k874,RKEY_A,1.0,1,874,12.0,11.0,12.637520662981078,11.482770442364782,6.570680543755728,5.415930323139588,0.0,development
RK-A-d+1-b1-e985-k985,RKEY_A,1.0,1,985,0.0,1.0,0.33080791309648844,1.096150585802269,1.136628822278297,2.2948034403264037,0.0,development
RK-A-d+1-b1-e988-k988,RKEY_A,1.0,1,988,2.0,1.0,2.7071636599781623,1.027281999008003,2.063342522737092,1.5033819690803736,2.0,development
RK-A-d+1-b1-e1002-k1002,RKEY_A,1.0,1,1002,2.0,4.0,2.69847920198978,4.021789338219229,2.396136955509666,3.7194470917391125,45.0,development
RK-A-d+1-b1-e1006-k1006,RKEY_A,1.0,1,1006,1.0,0.0,1.4852316633951677,0.44491935224541435,0.9203726336349017,0.5203587310000686,0.0,development
