episode_id,variant,direction,boundary,old_anchor_type,new_anchor_type,old_anchor_value,new_anchor_value,anchor_value_sealed,rekey_event_time,rekey_evidence_complete_time,rekey_known_time,new_anchor_active_time,event_pos,known_pos,crossing_pos,latency_bars,crossing_latency_bars,coordinate_before,coordinate_after,sigma_state_before,sigma_state_after,dist_from_old_anchor,dist_from_new_anchor,dist_from_boundary,vol_known,prior_state_duration,anchor_age,momentum,level_known,level_b_known,anchor_price_known,duplicate_episode_id,stage,is_control
RK-A-d+1-b1-e113-k113,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.09163,3.3418048996526295,3.3418048996526295,2023-07-07 17:00:00+00:00,2023-07-07 17:00:00+00:00,2023-07-07 17:00:00+00:00,2023-07-07 17:00:00+00:00,113,113,113,0,0,3.3418048996526295,0.0,3.0,0.0,3.3418048996526295,0.0,2.3418048996526295,0.0008923050932451024,1,113,1,1.09489,1.092604501720705,1.09163,X-d+1-b1-e113,development,False
RK-A-d+1-b1-e138-k138,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.09746,2.083847445325463,2.083847445325463,2023-07-10 18:00:00+00:00,2023-07-10 18:00:00+00:00,2023-07-10 18:00:00+00:00,2023-07-10 18:00:00+00:00,138,138,138,0,0,2.083847445325463,0.0,2.0,0.0,2.083847445325463,0.0,1.0838474453254632,0.0006598173369218383,2,25,1,1.09897,1.0981843620816283,1.09746,X-d+1-b1-e138,development,False
RK-A-d+1-b1-e149-k149,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.10093,1.4056997514279412,1.4056997514279412,2023-07-11 05:00:00+00:00,2023-07-11 05:00:00+00:00,2023-07-11 05:00:00+00:00,2023-07-11 05:00:00+00:00,149,149,149,0,0,1.4056997514279412,0.0,1.0,0.0,1.4056997514279412,0.0,0.40569975142794124,0.0006071419480867044,10,11,1,1.10187,1.1015986237391275,1.10093,X-d+1-b1-e149,development,False
RK-A-d+1-b1-e204-k204,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.1160799999999997,1.460503008176719,1.460503008176719,2023-07-13 12:00:00+00:00,2023-07-13 12:00:00+00:00,2023-07-13 12:00:00+00:00,2023-07-13 12:00:00+00:00,204,204,204,0,0,1.460503008176719,0.0,1.0,0.0,1.460503008176719,0.0,0.46050300817671896,0.0007235270012848024,3,55,1,1.11726,1.116887806215158,1.1160799999999997,X-d+1-b1-e204,development,False
RK-A-d+1-b1-e208-k208,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.11795,2.0578527694894024,2.0578527694894024,2023-07-13 16:00:00+00:00,2023-07-13 16:00:00+00:00,2023-07-13 16:00:00+00:00,2023-07-13 16:00:00+00:00,208,208,208,0,0,2.0578527694894024,0.0,2.0,0.0,2.0578527694894024,0.0,1.0578527694894024,0.0006342095013065191,3,4,1,1.11941,1.1186592393913934,1.11795,X-d+1-b1-e208,development,False
RK-A-d+1-b1-e211-k211,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.11957,1.4428490169450925,1.4428490169450925,2023-07-13 19:00:00+00:00,2023-07-13 19:00:00+00:00,2023-07-13 19:00:00+00:00,2023-07-13 19:00:00+00:00,211,211,211,0,0,1.4428490169450925,0.0,1.0,0.0,1.4428490169450925,0.0,0.4428490169450925,0.0006187767338038123,2,3,1,1.12057,1.1202629782451612,1.11957,X-d+1-b1-e211,development,False
RK-A-d+1-b1-e220-k220,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.12263,1.0749735215414158,1.0749735215414158,2023-07-14 04:00:00+00:00,2023-07-14 04:00:00+00:00,2023-07-14 04:00:00+00:00,2023-07-14 04:00:00+00:00,220,220,220,0,0,1.0749735215414158,0.0,1.0,0.0,1.0749735215414158,0.0,0.07497352154141579,0.0005467413165052827,7,9,1,1.12329,1.1232439560264176,1.12263,X-d+1-b1-e220,development,False
RK-A-d+1-b1-e222-k222,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.1235300000000001,1.0943599113379499,1.0943599113379499,2023-07-14 06:00:00+00:00,2023-07-14 06:00:00+00:00,2023-07-14 06:00:00+00:00,2023-07-14 06:00:00+00:00,222,222,222,0,0,1.0943599113379499,0.0,1.0,0.0,1.0943599113379499,0.0,0.09435991133794985,0.0004797258898518127,1,2,1,1.12412,1.1240691157325733,1.1235300000000001,X-d+1-b1-e222,development,False
RK-A-d+1-b1-e442-k442,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.11038,1.728191893438532,1.728191893438532,2023-07-27 10:00:00+00:00,2023-07-27 10:00:00+00:00,2023-07-27 10:00:00+00:00,2023-07-27 10:00:00+00:00,442,442,442,0,0,1.728191893438532,0.0,1.0,0.0,1.728191893438532,0.0,0.7281918934385321,0.001290932532317327,1,220,1,1.11286,1.1118143512914105,1.11038,X-d+1-b1-e442,development,False
RK-A-d+1-b1-e592-k592,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.09889,1.7969522509888691,1.7969522509888691,2023-08-04 16:00:00+00:00,2023-08-04 16:00:00+00:00,2023-08-04 16:00:00+00:00,2023-08-04 16:00:00+00:00,592,592,592,0,0,1.7969522509888691,0.0,1.0,0.0,1.7969522509888691,0.0,0.7969522509888691,0.001173651568220189,1,150,1,1.10121,1.1001804711053889,1.09889,X-d+1-b1-e592,development,False
RK-A-d+1-b1-e682-k682,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.09989,1.687612948454893,1.687612948454893,2023-08-10 10:00:00+00:00,2023-08-10 10:00:00+00:00,2023-08-10 10:00:00+00:00,2023-08-10 10:00:00+00:00,682,682,682,0,0,1.687612948454893,0.0,1.0,0.0,1.687612948454893,0.0,0.687612948454893,0.0005169632490979472,1,90,1,1.10085,1.100458749706732,1.09989,X-d+1-b1-e682,development,False
RK-A-d+1-b1-e685-k685,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.1020399999999997,1.298763222148717,1.298763222148717,2023-08-10 13:00:00+00:00,2023-08-10 13:00:00+00:00,2023-08-10 13:00:00+00:00,2023-08-10 13:00:00+00:00,685,685,685,0,0,1.298763222148717,0.0,1.0,0.0,1.298763222148717,0.0,0.2987632221487171,0.0005098609134538625,1,3,1,1.10277,1.1026020303875506,1.1020399999999997,X-d+1-b1-e685,development,False
RK-A-d+1-b1-e874-k874,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.0918000000000003,1.1547502206162823,1.1547502206162823,2023-08-22 10:00:00+00:00,2023-08-22 10:00:00+00:00,2023-08-22 10:00:00+00:00,2023-08-22 10:00:00+00:00,874,874,874,0,0,1.1547502206162823,0.0,1.0,0.0,1.1547502206162823,0.0,0.1547502206162823,0.000594676799327031,1,189,1,1.09255,1.0924494612201257,1.0918000000000003,X-d+1-b1-e874,development,False
