stage,variant,boundary,horizon,rekey_n,rekey_p,rekey_ci_lo,rekey_ci_hi,control_n,control_p,control_ci_lo,control_ci_hi,delta,delta_lo,delta_hi,n_d+1,p_cont_d+1,delta_d+1,delta_d+1_lo,delta_d+1_hi,n_d-1,p_cont_d-1,delta_d-1,delta_d-1_lo,delta_d-1_hi
development,RKEY_A,1.0,6,215,0.5581395348837209,0.491315400070631,0.6229225516169581,213,0.046948356807511735,0.02569840042274735,0.08425040249694059,0.5111911780762092,0.4368162463150999,0.5856534556174255,114.0,0.5350877192982456,0.4993734335839599,0.4022399749373433,0.5960213032581454,101.0,0.5841584158415841,0.5247524752475248,0.4158415841584159,0.6237623762376239
confirmation,RKEY_A,1.0,6,167,0.5988023952095808,0.5230497337218329,0.6701118104829316,167,0.011976047904191617,0.003290431921319656,0.04260860730969097,0.5868263473053892,0.5149700598802395,0.6586826347305389,98.0,0.5918367346938775,0.5918367346938775,0.4897959183673469,0.6836734693877551,69.0,0.6086956521739131,0.5797101449275363,0.44927536231884063,0.6956521739130436
development,RKEY_B,1.0,6,246,0.5894308943089431,0.5270409659564301,0.649070717859737,82,0.1951219512195122,0.12382897473181634,0.29370189337190344,0.39430894308943093,0.28861788617886175,0.49593495934959353,124.0,0.5645161290322581,0.34451612903225814,0.2,0.481370967741935,122.0,0.6147540983606558,0.45850409836065575,0.30067879098360656,0.6030097336065572
confirmation,RKEY_B,1.0,6,170,0.6,0.5249323138174852,0.6706481894217836,59,0.2711864406779661,0.17436970937918053,0.3959776296754516,0.3288135593220339,0.19248753738783653,0.4606355932203389,95.0,0.5894736842105263,0.29999999999999993,0.11578947368421055,0.47368421052631576,75.0,0.6133333333333333,0.3752380952380952,0.1712857142857143,0.5714285714285714
development,RKEY_C,1.0,6,20,0.75,0.531299122381256,0.8881382985923343,846,0.25177304964539005,0.2236925057109027,0.2820976676905873,0.49822695035460995,0.29937943262411354,0.6730791962174939,9.0,1.0,0.7476635514018692,0.7079439252336448,0.7897196261682243,11.0,0.5454545454545454,0.2942583732057416,0.004724880382775092,0.5789473684210527
confirmation,RKEY_C,1.0,6,12,0.75,0.46769466506643426,0.9110583316059453,593,0.2715008431703204,0.23726174111770115,0.30868132970135354,0.4784991568296796,0.22508431703204046,0.715008431703204,6.0,0.6666666666666666,0.35416666666666663,-0.016666666666666663,0.703125,6.0,0.8333333333333334,0.6098901098901099,0.2728937728937729,0.8131868131868132
development,RKEY_A,2.0,6,93,0.4946236559139785,0.39525893983600857,0.5944149042780961,93,0.021505376344086023,0.005917499808404975,0.07505462634691146,0.4731182795698925,0.3655913978494624,0.5806451612903226,43.0,0.5581395348837209,0.5581395348837209,0.41802325581395355,0.6976744186046512,50.0,0.44,0.4,0.24000000000000002,0.5599999999999999
confirmation,RKEY_A,2.0,6,71,0.5633802816901409,0.4477154306941805,0.6725387725484672,71,0.028169014084507043,0.007759263582683522,0.0970150011664947,0.5352112676056339,0.4225352112676056,0.6619718309859155,41.0,0.5853658536585366,0.5609756097560975,0.4146341463414634,0.7073170731707317,30.0,0.5333333333333333,0.5,0.3,0.7
development,RKEY_B,2.0,6,101,0.5445544554455446,0.44757998088881473,0.6382639219072378,148,0.11486486486486487,0.07296423932435536,0.17625266832785694,0.42968959058067974,0.31715446882526094,0.5327803050575328,44.0,0.5909090909090909,0.4923175416133163,0.32872119078105,0.6450064020486556,57.0,0.5087719298245614,0.3789017999544316,0.22623034859876961,0.5238095238095237
confirmation,RKEY_B,2.0,6,70,0.5571428571428572,0.44083551053188,0.6675047109069467,110,0.19090909090909092,0.12839407729736774,0.27428399179604285,0.36623376623376624,0.22597402597402597,0.5064935064935066,39.0,0.5641025641025641,0.37362637362637363,0.20137362637362638,0.5616910866910865,31.0,0.5483870967741935,0.35689773507206585,0.14275909402882636,0.5600549073438572
development,RKEY_C,2.0,6,3,1.0,0.4385029682449546,1.0,385,0.11948051948051948,0.090782455893715,0.15569707103576644,0.8805194805194805,0.8467532467532468,0.9116883116883117,3.0,1.0,0.8805194805194805,0.8467532467532468,0.9116883116883117,0.0,,,,
confirmation,RKEY_C,2.0,6,0,,,,0,,,,,,,0.0,,,,,0.0,,,,
