metric,variant,boundary,stage,bar,at_risk,events,censored,hazard,survival
beyond_state,RKEY_A,1.0,development,1,193,116,0,0.6010362694300518,0.39896373056994816
beyond_state,RKEY_A,1.0,development,2,77,32,0,0.4155844155844156,0.233160621761658
beyond_state,RKEY_A,1.0,development,3,45,10,0,0.2222222222222222,0.18134715025906734
beyond_state,RKEY_A,1.0,development,6,19,1,0,0.05263157894736842,0.09326424870466321
beyond_state,RKEY_A,1.0,development,12,14,0,0,0.0,0.07253886010362692
beyond_state,RKEY_A,1.0,development,24,1,1,0,1.0,0.0
beyond_state,RKEY_B,1.0,development,1,216,129,0,0.5972222222222222,0.4027777777777778
beyond_state,RKEY_B,1.0,development,2,87,33,0,0.3793103448275862,0.25
beyond_state,RKEY_B,1.0,development,3,54,13,0,0.24074074074074073,0.18981481481481483
beyond_state,RKEY_B,1.0,development,6,23,2,0,0.08695652173913043,0.09722222222222224
beyond_state,RKEY_B,1.0,development,12,16,0,0,0.0,0.07407407407407408
beyond_state,RKEY_B,1.0,development,24,2,2,0,1.0,0.0
beyond_state,RKEY_C,1.0,development,1,16,7,0,0.4375,0.5625
beyond_state,RKEY_C,1.0,development,2,9,3,0,0.3333333333333333,0.37500000000000006
beyond_state,RKEY_C,1.0,development,3,6,1,0,0.16666666666666666,0.31250000000000006
beyond_state,RKEY_C,1.0,development,6,4,1,0,0.25,0.18750000000000006
beyond_state,RKEY_C,1.0,development,12,3,0,0,0.0,0.18750000000000006
beyond_state,RKEY_C,1.0,development,24,0,0,0,,0.0
beyond_state,RKEY_A,2.0,development,1,81,48,0,0.5925925925925926,0.40740740740740744
beyond_state,RKEY_A,2.0,development,2,33,16,0,0.48484848484848486,0.20987654320987656
beyond_state,RKEY_A,2.0,development,3,17,3,0,0.17647058823529413,0.17283950617283952
beyond_state,RKEY_A,2.0,development,6,8,1,0,0.125,0.08641975308641978
beyond_state,RKEY_A,2.0,development,12,7,0,0,0.0,0.08641975308641978
beyond_state,RKEY_A,2.0,development,24,0,0,0,,0.0
beyond_state,RKEY_B,2.0,development,1,83,50,0,0.6024096385542169,0.3975903614457831
beyond_state,RKEY_B,2.0,development,2,33,17,0,0.5151515151515151,0.19277108433734938
beyond_state,RKEY_B,2.0,development,3,16,4,0,0.25,0.14457831325301204
beyond_state,RKEY_B,2.0,development,6,7,2,0,0.2857142857142857,0.060240963855421686
beyond_state,RKEY_B,2.0,development,12,5,0,0,0.0,0.060240963855421686
beyond_state,RKEY_B,2.0,development,24,0,0,0,,0.0
beyond_state,RKEY_C,2.0,development,1,1,1,0,1.0,0.0
beyond_state,RKEY_C,2.0,development,2,0,0,0,,0.0
beyond_state,RKEY_C,2.0,development,3,0,0,0,,0.0
beyond_state,RKEY_C,2.0,development,6,0,0,0,,0.0
beyond_state,RKEY_C,2.0,development,12,0,0,0,,0.0
beyond_state,RKEY_C,2.0,development,24,0,0,0,,0.0
beyond_state,RKEY_A,1.0,confirmation,1,149,88,0,0.5906040268456376,0.4093959731543624
beyond_state,RKEY_A,1.0,confirmation,2,61,21,0,0.3442622950819672,0.2684563758389262
beyond_state,RKEY_A,1.0,confirmation,3,40,15,0,0.375,0.16778523489932887
beyond_state,RKEY_A,1.0,confirmation,6,14,2,0,0.14285714285714285,0.08053691275167785
beyond_state,RKEY_A,1.0,confirmation,12,8,0,0,0.0,0.05369127516778522
beyond_state,RKEY_A,1.0,confirmation,24,0,0,0,,0.0
beyond_state,RKEY_B,1.0,confirmation,1,150,90,0,0.6,0.4
beyond_state,RKEY_B,1.0,confirmation,2,60,23,0,0.38333333333333336,0.2466666666666667
beyond_state,RKEY_B,1.0,confirmation,3,37,12,0,0.32432432432432434,0.16666666666666669
beyond_state,RKEY_B,1.0,confirmation,6,15,1,0,0.06666666666666667,0.09333333333333334
beyond_state,RKEY_B,1.0,confirmation,12,9,1,0,0.1111111111111111,0.05333333333333333
beyond_state,RKEY_B,1.0,confirmation,24,0,0,0,,0.0
beyond_state,RKEY_C,1.0,confirmation,1,10,6,0,0.6,0.4
beyond_state,RKEY_C,1.0,confirmation,2,4,1,0,0.25,0.30000000000000004
beyond_state,RKEY_C,1.0,confirmation,3,3,0,0,0.0,0.30000000000000004
beyond_state,RKEY_C,1.0,confirmation,6,3,0,0,0.0,0.30000000000000004
beyond_state,RKEY_C,1.0,confirmation,12,3,2,0,0.6666666666666666,0.10000000000000002
beyond_state,RKEY_C,1.0,confirmation,24,0,0,0,,0.0
beyond_state,RKEY_A,2.0,confirmation,1,63,40,0,0.6349206349206349,0.3650793650793651
beyond_state,RKEY_A,2.0,confirmation,2,23,7,0,0.30434782608695654,0.253968253968254
beyond_state,RKEY_A,2.0,confirmation,3,16,3,0,0.1875,0.2063492063492064
beyond_state,RKEY_A,2.0,confirmation,6,9,1,0,0.1111111111111111,0.12698412698412703
beyond_state,RKEY_A,2.0,confirmation,12,7,2,0,0.2857142857142857,0.0793650793650794
beyond_state,RKEY_A,2.0,confirmation,24,0,0,0,,0.0
beyond_state,RKEY_B,2.0,confirmation,1,61,41,0,0.6721311475409836,0.3278688524590164
beyond_state,RKEY_B,2.0,confirmation,2,20,6,0,0.3,0.22950819672131148
beyond_state,RKEY_B,2.0,confirmation,3,14,3,0,0.21428571428571427,0.18032786885245902
beyond_state,RKEY_B,2.0,confirmation,6,7,1,0,0.14285714285714285,0.09836065573770492
beyond_state,RKEY_B,2.0,confirmation,12,5,1,0,0.2,0.06557377049180328
beyond_state,RKEY_B,2.0,confirmation,24,0,0,0,,0.0
