sequence,count,pct,n_subperiods,lift_vs_uniform,status
BREADTH_EXPANDS->CONCENTRATION_RELEASES->DISPERSION_EXPANDS->TAIL_ACTIVATES->RANK_RECRUITS,65,0.07793764988009592,5,7.715827338129497,COMMON
CONCENTRATION_RELEASES->DISPERSION_EXPANDS->RANK_RECRUITS->TAIL_ACTIVATES->BREADTH_EXPANDS,55,0.06594724220623502,5,6.528776978417268,COMMON
BREADTH_EXPANDS->CONCENTRATION_RELEASES->DISPERSION_EXPANDS->RANK_RECRUITS->TAIL_ACTIVATES,50,0.05995203836930456,5,5.9352517985611515,COMMON
BREADTH_EXPANDS->CONCENTRATION_RELEASES->RANK_RECRUITS->TAIL_ACTIVATES->DISPERSION_EXPANDS,44,0.05275779376498801,4,5.223021582733813,LOCAL
BREADTH_EXPANDS->CONCENTRATION_RELEASES->TAIL_ACTIVATES->DISPERSION_EXPANDS->RANK_RECRUITS,41,0.049160671462829736,5,4.866906474820144,LOCAL
CONCENTRATION_RELEASES->RANK_RECRUITS->TAIL_ACTIVATES->BREADTH_EXPANDS->DISPERSION_EXPANDS,32,0.03836930455635491,5,3.7985611510791366,LOCAL
CONCENTRATION_RELEASES->RANK_RECRUITS->TAIL_ACTIVATES->DISPERSION_EXPANDS->BREADTH_EXPANDS,30,0.03597122302158273,4,3.5611510791366907,LOCAL
BREADTH_EXPANDS->CONCENTRATION_RELEASES->DISPERSION_EXPANDS->TAIL_ACTIVATES,27,0.03237410071942446,4,3.2050359712230216,RARE
BREADTH_EXPANDS->DISPERSION_EXPANDS->RANK_RECRUITS->TAIL_ACTIVATES->CONCENTRATION_RELEASES,25,0.02997601918465228,5,2.9676258992805757,RARE
CONCENTRATION_RELEASES->DISPERSION_EXPANDS->TAIL_ACTIVATES->BREADTH_EXPANDS->RANK_RECRUITS,25,0.02997601918465228,5,2.9676258992805757,RARE
CONCENTRATION_RELEASES->RANK_RECRUITS->TAIL_ACTIVATES->DISPERSION_EXPANDS,21,0.025179856115107913,5,2.4928057553956835,RARE
CONCENTRATION_RELEASES->TAIL_ACTIVATES->BREADTH_EXPANDS->DISPERSION_EXPANDS->RANK_RECRUITS,16,0.019184652278177457,4,1.8992805755395683,RARE
BREADTH_EXPANDS->DISPERSION_EXPANDS->TAIL_ACTIVATES->RANK_RECRUITS,15,0.017985611510791366,5,1.7805755395683454,RARE
BREADTH_EXPANDS->CONCENTRATION_RELEASES->TAIL_ACTIVATES->DISPERSION_EXPANDS,14,0.016786570743405275,4,1.6618705035971224,RARE
CONCENTRATION_RELEASES->DISPERSION_EXPANDS->TAIL_ACTIVATES->RANK_RECRUITS,14,0.016786570743405275,5,1.6618705035971224,RARE
BREADTH_EXPANDS->DISPERSION_EXPANDS->TAIL_ACTIVATES->CONCENTRATION_RELEASES->RANK_RECRUITS,13,0.015587529976019185,4,1.5431654676258995,RARE
BREADTH_EXPANDS->DISPERSION_EXPANDS->TAIL_ACTIVATES->RANK_RECRUITS->CONCENTRATION_RELEASES,13,0.015587529976019185,4,1.5431654676258995,RARE
