cell,age_band,n_days,haz_PROPAGATION_3d,haz_PROPAGATION_7d,haz_PROPAGATION_14d,haz_PROPAGATION_21d,haz_PROPAGATION_30d,ci_PROPAGATION_30d,haz_REENTRY_3d,haz_REENTRY_7d,haz_REENTRY_14d,haz_REENTRY_21d,haz_REENTRY_30d,ci_REENTRY_30d,haz_EXIT_TO_OTHER_3d,haz_EXIT_TO_OTHER_7d,haz_EXIT_TO_OTHER_14d,haz_EXIT_TO_OTHER_21d,haz_EXIT_TO_OTHER_30d,ci_EXIT_TO_OTHER_30d,ci_any_7d,ci_any_14d,ci_any_30d
HIGH_BREADTH_HIGH_DISP,AGE_1,79,0.012658227848101266,0.0379746835443038,0.012658227848101266,0.012658227848101266,0.0,0.17763713080168778,0.02531645569620253,0.0379746835443038,0.0,0.0,0.0,0.07341772151898734,0.06329113924050633,0.02531645569620253,0.0,0.012658227848101266,0.0,0.13544303797468354,1.0,1.0,1.0
HIGH_BREADTH_HIGH_DISP,AGE_2_3,101,0.04950495049504951,0.019801980198019802,0.0,0.0297029702970297,0.009900990099009901,0.20165016501650168,0.04950495049504951,0.0,0.0,0.0,0.0,0.057755775577557754,0.07920792079207921,0.04950495049504951,0.009900990099009901,0.0,0.009900990099009901,0.16996699669967,0.9801980198019802,0.9900990099009901,0.9900990099009901
HIGH_BREADTH_HIGH_DISP,AGE_4_7,125,0.032,0.032,0.008,0.0,0.008,0.21333333333333337,0.008,0.008,0.008,0.0,0.0,0.08800000000000001,0.08,0.04,0.024,0.0,0.016,0.18613333333333337,1.0,1.0,1.0
HIGH_BREADTH_HIGH_DISP,AGE_8_14,124,0.056451612903225805,0.024193548387096774,0.024193548387096774,0.0,0.0,0.19892473118279566,0.0,0.008064516129032258,0.016129032258064516,0.0,0.008064516129032258,0.08870967741935483,0.04838709677419355,0.03225806451612903,0.008064516129032258,0.008064516129032258,0.008064516129032258,0.23736559139784943,1.0,1.0,1.0
HIGH_BREADTH_HIGH_DISP,AGE_15_PLUS,341,0.02932551319648094,0.020527859237536656,0.0,0.0,0.0,0.06187683284457478,0.017595307917888565,0.017595307917888565,0.005865102639296188,0.008797653958944282,0.008797653958944282,0.14261974584555226,0.03812316715542522,0.02932551319648094,0.026392961876832845,0.02346041055718475,0.01466275659824047,0.3404692082111436,0.9853372434017595,1.0,1.0
HIGH_BREADTH_LOW_DISP,AGE_1,83,0.0,0.024096385542168676,0.024096385542168676,0.0,0.012048192771084338,0.1855421686746988,0.04819277108433735,0.012048192771084338,0.0,0.012048192771084338,0.0,0.09759036144578315,0.060240963855421686,0.07228915662650602,0.012048192771084338,0.0,0.0,0.13132530120481928,0.9879518072289156,1.0,1.0
HIGH_BREADTH_LOW_DISP,AGE_2_3,95,0.031578947368421054,0.0,0.0,0.0,0.0,0.10877192982456142,0.021052631578947368,0.031578947368421054,0.0,0.0,0.0,0.08245614035087719,0.1368421052631579,0.06315789473684211,0.0,0.0,0.0,0.1515789473684211,1.0,1.0,1.0
HIGH_BREADTH_LOW_DISP,AGE_4_7,99,0.04040404040404041,0.010101010101010102,0.010101010101010102,0.0,0.010101010101010102,0.09360269360269362,0.050505050505050504,0.010101010101010102,0.0,0.0,0.0,0.09326599326599329,0.16161616161616163,0.030303030303030304,0.0,0.0,0.0,0.14107744107744108,0.98989898989899,1.0,1.0
HIGH_BREADTH_LOW_DISP,AGE_8_14,35,0.05714285714285714,0.0,0.0,0.0,0.0,0.022857142857142857,0.08571428571428572,0.02857142857142857,0.02857142857142857,0.0,0.0,0.07714285714285714,0.11428571428571428,0.02857142857142857,0.0,0.02857142857142857,0.0,0.1980952380952381,1.0,1.0,1.0
LOW_BREADTH_HIGH_DISP,AGE_1,66,0.045454545454545456,0.0,0.015151515151515152,0.030303030303030304,0.030303030303030304,0.21414141414141416,0.06060606060606061,0.09090909090909091,0.0,0.0,0.0,0.21717171717171718,0.07575757575757576,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.0,0.1383838383838384,0.9090909090909091,0.9545454545454546,1.0
LOW_BREADTH_HIGH_DISP,AGE_2_3,56,0.0,0.03571428571428571,0.0,0.017857142857142856,0.017857142857142856,0.1630952380952381,0.017857142857142856,0.0,0.03571428571428571,0.0,0.0,0.2321428571428571,0.03571428571428571,0.03571428571428571,0.017857142857142856,0.017857142857142856,0.0,0.22678571428571428,0.8214285714285714,0.9285714285714286,1.0
LOW_BREADTH_HIGH_DISP,AGE_4_7,58,0.017241379310344827,0.0,0.017241379310344827,0.0,0.017241379310344827,0.1413793103448276,0.05172413793103448,0.0,0.034482758620689655,0.05172413793103448,0.0,0.2603448275862069,0.06896551724137931,0.06896551724137931,0.017241379310344827,0.017241379310344827,0.0,0.296551724137931,0.6724137931034483,0.9655172413793104,1.0
LOW_BREADTH_HIGH_DISP,AGE_8_14,62,0.016129032258064516,0.016129032258064516,0.0,0.016129032258064516,0.0,0.12473118279569893,0.03225806451612903,0.04838709677419355,0.016129032258064516,0.0,0.0,0.16559139784946236,0.0967741935483871,0.04838709677419355,0.04838709677419355,0.0,0.0,0.23870967741935484,0.8548387096774194,1.0,1.0
LOW_BREADTH_HIGH_DISP,AGE_15_PLUS,32,0.03125,0.0,0.03125,0.0,0.03125,0.20625,0.0625,0.0,0.0,0.0,0.0625,0.25625,0.125,0.09375,0.0,0.0,0.0,0.146875,1.0,1.0,1.0
LOW_BREADTH_LOW_DISP,AGE_1,103,0.05825242718446602,0.009708737864077669,0.019417475728155338,0.019417475728155338,0.009708737864077669,0.20614886731391585,0.06796116504854369,0.009708737864077669,0.0,0.0,0.009708737864077669,0.19514563106796115,0.07766990291262135,0.02912621359223301,0.009708737864077669,0.0,0.02912621359223301,0.17475728155339804,0.8252427184466019,0.8932038834951457,0.9805825242718447
