t0_state,horizon_d,n,p_PRICE_UP_RANK_UP,p_PRICE_UP_RANK_DOWN,p_PRICE_DOWN_RANK_UP,p_PRICE_DOWN_RANK_DOWN
PRICE_RECOVERY_RANK_DECAY,3,258,0.1937984496124031,0.34108527131782945,0.3992248062015504,0.06589147286821706
PRICE_RECOVERY_RANK_RECOVERY,3,308,0.08441558441558442,0.762987012987013,0.1038961038961039,0.048701298701298704
PRICE_DECAY_RANK_DECAY,3,268,0.11567164179104478,0.13432835820895522,0.6529850746268657,0.09701492537313433
PRICE_DECAY_RANK_RECOVERY,3,79,0.05063291139240506,0.4430379746835443,0.22784810126582278,0.27848101265822783
PRICE_RECOVERY_RANK_DECAY,7,257,0.40077821011673154,0.08560311284046693,0.48638132295719844,0.027237354085603113
PRICE_RECOVERY_RANK_RECOVERY,7,308,0.006493506493506494,0.8961038961038961,0.0,0.09740259740259741
PRICE_DECAY_RANK_DECAY,7,267,0.12359550561797752,0.018726591760299626,0.8389513108614233,0.018726591760299626
PRICE_DECAY_RANK_RECOVERY,7,79,0.0,0.4430379746835443,0.012658227848101266,0.5443037974683544
PRICE_RECOVERY_RANK_DECAY,14,256,0.29296875,0.2890625,0.33984375,0.078125
PRICE_RECOVERY_RANK_RECOVERY,14,308,0.10714285714285714,0.7435064935064936,0.07142857142857142,0.07792207792207792
PRICE_DECAY_RANK_DECAY,14,267,0.003745318352059925,0.0149812734082397,0.8576779026217228,0.12359550561797752
PRICE_DECAY_RANK_RECOVERY,14,78,0.0,0.1282051282051282,0.4230769230769231,0.44871794871794873
PRICE_RECOVERY_RANK_DECAY,30,252,0.29365079365079366,0.3531746031746032,0.2896825396825397,0.06349206349206349
PRICE_RECOVERY_RANK_RECOVERY,30,306,0.16013071895424835,0.5915032679738562,0.13725490196078433,0.1111111111111111
PRICE_DECAY_RANK_DECAY,30,264,0.003787878787878788,0.003787878787878788,0.8598484848484849,0.13257575757575757
PRICE_DECAY_RANK_RECOVERY,30,76,0.013157894736842105,0.07894736842105263,0.5131578947368421,0.39473684210526316
