group,cell,n,pct_of_group,med_rank_depth,med_age,verdict
SHMC,HIGH_BREADTH_HIGH_DISP,6389,0.2734548878616675,-0.031316694356669283,10.0,LOCAL_ALIGNMENT
SHMC,HIGH_BREADTH_LOW_DISP,3015,0.1290446841294299,-0.018519976977923736,2.0,LOCAL_ALIGNMENT
SHMC,LOW_BREADTH_HIGH_DISP,3437,0.14710665981852422,-0.05087119963550868,6.0,LOCAL_ALIGNMENT
SHMC,LOW_BREADTH_LOW_DISP,10523,0.45039376819037835,-0.027529482542536177,10.0,LOCAL_ALIGNMENT
SHHM,HIGH_BREADTH_HIGH_DISP,41205,0.5166447244686854,-0.03518061882174239,13.0,LOCAL_ALIGNMENT
SHHM,HIGH_BREADTH_LOW_DISP,13096,0.16420287129333583,-0.023818149733892957,3.0,LOCAL_ALIGNMENT
SHHM,LOW_BREADTH_HIGH_DISP,6688,0.08385681148517335,-0.04857035535164703,4.0,LOCAL_ALIGNMENT
SHHM,LOW_BREADTH_LOW_DISP,18766,0.23529559275280545,-0.027863694896209656,9.0,LOCAL_ALIGNMENT
