patch,bands,internal_corr_ppos,mean_ppos,mean_tail_share,mean_med_ret,autocorr_ppos_1d,loner_events,false_loner_events,false_loner_rate,verdict
UPPER_CORE,26-50+51-100,0.946452190582962,0.48982856228032734,0.03260165268688596,-0.0037365795577081564,-0.0553371036160207,382,125,0.32722513089005234,COHERENT
UPPER_MID,101-150+151-250,0.9513271801836094,0.4878186379772452,0.04276503113870081,-0.0038991852859651963,-0.047697408128736594,566,109,0.19257950530035337,COHERENT
MID,251-350+351-500,0.967311503181012,0.48016878189334644,0.05311266316548743,-0.0041869471523489615,-0.03258799073016044,537,82,0.1527001862197393,COHERENT
LOWER_MID,501-625+626-750,0.9656651874958612,0.46922530708901944,0.06190176342874609,-0.004680587580708048,-0.015174844420051738,465,79,0.16989247311827957,COHERENT
TRANSITION,751-875+876-1000,0.9557028218137751,0.4624717422617671,0.07318243329003432,-0.004503542056817255,0.0033848686182204753,400,48,0.12,COHERENT
