patch_a,patch_b,corr_same_day,corr_lag1_a_to_b,corr_lag1_b_to_a,corr_lag7,verdict
UPPER_CORE,UPPER_MID,0.9691393686533138,-0.036763308054052965,-0.053248661023488714,0.001689037115089674,SYNC
UPPER_CORE,MID,0.9593076857179609,-0.022850034565975792,-0.055938168335773884,0.0018233061587998765,SYNC
UPPER_CORE,LOWER_MID,0.9475944900775126,-0.006199414318902645,-0.05348343708545051,0.002388512577360188,SYNC
UPPER_CORE,TRANSITION,0.9288434586596007,0.011323505814800705,-0.050983611948871174,0.004428009955641979,SYNC
UPPER_MID,MID,0.9793777698144126,-0.028058016507944136,-0.04272309895665113,-0.0018511825267908657,SYNC
UPPER_MID,LOWER_MID,0.9653136208443017,-0.012664714120335195,-0.039558684305556806,0.0002262312635775558,SYNC
UPPER_MID,TRANSITION,0.9438518306796018,0.00465411188481275,-0.038538012732379966,0.0019294250544952696,SYNC
MID,LOWER_MID,0.9770052067386338,-0.016429418043722017,-0.027757273629698098,0.00010593576226554288,SYNC
MID,TRANSITION,0.9543504083597614,0.0015346166830010413,-0.027859037601918994,0.0008651790224860611,SYNC
LOWER_MID,TRANSITION,0.9696882099907955,0.004800063157878064,-0.014331670002486864,0.005783951790696176,SYNC
