cell,vol_class,n,median_exit_latency_d,median_prop_latency_d,p_exit_7d,verdict
HIGH_BREADTH_HIGH_DISP,VOL_LO,254,4.0,2.0,0.6617647058823529,PARKED
HIGH_BREADTH_HIGH_DISP,VOL_MID,253,8.0,1.0,0.4696132596685083,PARKED
HIGH_BREADTH_HIGH_DISP,VOL_HI,253,10.0,1.0,0.40106951871657753,PARKED
HIGH_BREADTH_LOW_DISP,VOL_LO,109,4.0,4.5,0.7064220183486238,PARKED
HIGH_BREADTH_LOW_DISP,VOL_MID,109,3.0,1.0,0.8440366972477065,PARKED
HIGH_BREADTH_LOW_DISP,VOL_HI,109,2.0,4.0,0.9908256880733946,PARKED
LOW_BREADTH_HIGH_DISP,VOL_LO,92,2.0,3.0,0.782608695652174,CLOCK_MODULATOR
LOW_BREADTH_HIGH_DISP,VOL_MID,91,4.0,17.5,0.7032967032967034,CLOCK_MODULATOR
LOW_BREADTH_HIGH_DISP,VOL_HI,91,8.0,9.0,0.4835164835164835,CLOCK_MODULATOR
LOW_BREADTH_LOW_DISP,VOL_LO,255,5.0,15.0,0.5964125560538116,PARKED
LOW_BREADTH_LOW_DISP,VOL_MID,255,7.0,10.0,0.5109170305676856,PARKED
LOW_BREADTH_LOW_DISP,VOL_HI,255,8.5,15.0,0.45217391304347826,PARKED
