event_type,n_events,n_bands_affected_d7,max_depth_band_idx,max_depth_label,median_ppos_delta_d3,median_ppos_delta_d7,median_ppos_delta_d14,verdict
ANY_TAIL_DAY,2115,0,0,NONE,-0.0056357036963805285,-0.00479153774851751,-0.004031711762109369,LOCAL
HH_DAY,770,0,0,NONE,-0.02898550724637683,-0.020393481133460734,-0.02457704804698188,LOCAL
