sigma_class,n,p_EARLY,p_MID,p_LATE,p_NEVER,med_breadth_t0,med_disp_t0,verdict
2s,1762,0.16004540295119182,0.08853575482406356,0.06526674233825198,0.6861520998864926,0.326,0.3137009962803946,AMPLITUDE_GRADIENT_NO_FIELD_GRADIENT
3s,387,0.18087855297157623,0.10852713178294573,0.05167958656330749,0.6589147286821705,0.336,0.3157290501519504,AMPLITUDE_GRADIENT_NO_FIELD_GRADIENT
4s+,313,0.23322683706070288,0.12779552715654952,0.0670926517571885,0.5718849840255591,0.322,0.30276601800532543,AMPLITUDE_GRADIENT_NO_FIELD_GRADIENT
