perturbation,amplitude,n,median_amp,p_survive_3d,p_survive_7d,p_fwd7_prop,p_displace_3d,p_tail_7d,verdict
brd_jump,SMALL,217,0.058,0.8433179723502304,0.35944700460829493,0.31336405529953915,0.15668202764976957,0.9631336405529954,SMOOTH
brd_jump,MEDIUM,215,0.12,0.7767441860465116,0.37209302325581395,0.25116279069767444,0.22325581395348837,0.9627906976744186,SMOOTH
brd_jump,LARGE,216,0.31500000000000006,0.8055555555555556,0.5833333333333334,0.2175925925925926,0.19444444444444445,0.9629629629629629,SMOOTH
brd_drop,SMALL,246,0.056000000000000015,0.8617886178861789,0.3699186991869919,0.23577235772357724,0.13821138211382114,0.959349593495935,SMOOTH
brd_drop,MEDIUM,242,0.11199999999999999,0.8760330578512396,0.24380165289256198,0.16115702479338842,0.12396694214876033,0.9504132231404959,SMOOTH
brd_drop,LARGE,244,0.247,0.75,0.2786885245901639,0.18442622950819673,0.25,0.9262295081967213,SMOOTH
disp_jump,SMALL,189,0.056162685440534516,0.8253968253968254,0.23809523809523808,0.2857142857142857,0.1746031746031746,0.9629629629629629,THRESHOLD_REGION
disp_jump,MEDIUM,187,0.1016289059192137,0.8181818181818182,0.39572192513368987,0.41711229946524064,0.18181818181818182,0.946524064171123,THRESHOLD_REGION
disp_jump,LARGE,189,0.29802548663657313,0.8306878306878307,0.5873015873015873,0.455026455026455,0.1693121693121693,0.9576719576719577,THRESHOLD_REGION
disp_drop,SMALL,197,0.0548394056454983,0.8477157360406091,0.34517766497461927,0.18274111675126903,0.15228426395939088,0.934010152284264,THRESHOLD_REGION
disp_drop,MEDIUM,195,0.11105663111093012,0.8717948717948718,0.2564102564102564,0.19487179487179487,0.1282051282051282,0.9282051282051282,THRESHOLD_REGION
disp_drop,LARGE,197,0.3076688122588851,0.883248730964467,0.4467005076142132,0.3553299492385787,0.116751269035533,0.9593908629441624,THRESHOLD_REGION
btc_shock,SMALL,175,0.08978047348263818,0.8971428571428571,0.21714285714285714,0.29714285714285715,0.10285714285714286,0.9371428571428572,SMOOTH
btc_shock,MEDIUM,175,0.11764529129617562,0.8228571428571428,0.25142857142857145,0.24571428571428572,0.17714285714285713,0.9485714285714286,SMOOTH
btc_shock,LARGE,175,0.19093458985910705,0.88,0.4514285714285714,0.25142857142857145,0.12,0.9257142857142857,SMOOTH
conc_shock,SMALL,103,0.022849588678251043,0.8543689320388349,0.4077669902912621,0.3106796116504854,0.14563106796116504,0.9029126213592233,SMOOTH
conc_shock,MEDIUM,104,0.03122629243479802,0.7980769230769231,0.3269230769230769,0.19230769230769232,0.20192307692307693,0.9134615384615384,SMOOTH
conc_shock,LARGE,103,0.0416877082540168,0.8932038834951457,0.36893203883495146,0.18446601941747573,0.10679611650485436,0.9223300970873787,SMOOTH
vol_shock,SMALL,91,0.006292555781891786,0.8351648351648352,0.3076923076923077,0.2857142857142857,0.16483516483516483,0.8901098901098901,THRESHOLD_REGION
vol_shock,MEDIUM,91,0.008203152229148677,0.8461538461538461,0.3076923076923077,0.32967032967032966,0.15384615384615385,0.9120879120879121,THRESHOLD_REGION
vol_shock,LARGE,91,0.017804417104811607,0.8021978021978022,0.27472527472527475,0.03296703296703297,0.1978021978021978,0.8351648351648352,THRESHOLD_REGION
