rule,count,strategies_flagged
F1,0,
F2,2,ALPHA1_S005;ALPHA1_S006
F3,11,ALPHA1_S001;ALPHA1_S004;ALPHA1_S005;ALPHA1_S006;ALPHA1_S007;ALPHA1_S008;ALPHA1_S009;ALPHA1_S010;ALPHA1_S011;ALPHA1_S012;ALPHA1_S013
F4,5,ALPHA1_S001;ALPHA1_S005;ALPHA1_S006;ALPHA1_S008;ALPHA1_S009
F5,0,
F6,7,ALPHA1_S002;ALPHA1_S003;ALPHA1_S005;ALPHA1_S007;ALPHA1_S011;ALPHA1_S012;ALPHA1_S013
F7,8,ALPHA1_S002;ALPHA1_S003;ALPHA1_S005;ALPHA1_S006;ALPHA1_S007;ALPHA1_S011;ALPHA1_S012;ALPHA1_S013
F8,3,ALPHA1_S005;ALPHA1_S011;ALPHA1_S012
F9,0,
F10,4,ALPHA1_S001;ALPHA1_S003;ALPHA1_S011;ALPHA1_S012
F11,0,
F12,1,ALPHA1_S001
