entity_id,entity_type,raw_trade_count,effective_event_count,episode_ratio
ALPHA1_S001,STRATEGY,848,229,0.27
ALPHA1_S002,STRATEGY,176,143,0.8125
ALPHA1_S003,STRATEGY,174,104,0.5977
ALPHA1_S004,STRATEGY,331,187,0.565
ALPHA1_S005,STRATEGY,45,39,0.8667
ALPHA1_S006,STRATEGY,30,27,0.9
ALPHA1_S007,STRATEGY,205,86,0.4195
ALPHA1_S008,STRATEGY,76,33,0.4342
ALPHA1_S009,STRATEGY,232,162,0.6983
ALPHA1_S010,STRATEGY,258,167,0.6473
ALPHA1_S011,STRATEGY,79,71,0.8987
ALPHA1_S012,STRATEGY,76,70,0.9211
ALPHA1_S013,STRATEGY,431,241,0.5592
ALPHA1_C001,CONTROL,850,425,0.5
ALPHA1_C002,CONTROL,850,425,0.5
ALPHA1_C003,CONTROL,243,136,0.5597
ALPHA1_C004,CONTROL,141,141,1.0
ALPHA1_C005,CONTROL,244,110,0.4508
ALPHA1_C006,CONTROL,397,397,1.0
