strategy_id,control_id,strategy_net_PF,control_net_PF,paired_sample_count,observed_difference,bootstrap_mean_difference,CI_low,CI_high,p_value,pf_condition_met,ci_overlap_zero,F8_trigger,reason
ALPHA1_S001,ALPHA1_C006,0.802300,0.761400,397,-0.076417,-0.074655,-0.225611,0.076251,0.166100,False,True,False,STATE_ADDS_VALUE
ALPHA1_S002,ALPHA1_C001,1.016300,0.798600,176,-0.036082,-0.034784,-0.408380,0.345503,0.430000,False,True,False,STATE_ADDS_VALUE
ALPHA1_S003,ALPHA1_C001,1.009300,0.798600,174,-0.087343,-0.086935,-0.315449,0.141791,0.226400,False,True,False,STATE_ADDS_VALUE
ALPHA1_S004,ALPHA1_C002,0.877700,0.798600,331,-0.018232,-0.020858,-0.234528,0.193308,0.417400,False,True,False,STATE_ADDS_VALUE
ALPHA1_S005,ALPHA1_C002,0.770200,0.798600,45,0.081720,0.083160,-0.321080,0.487709,0.651600,True,True,True,STATE_ADDS_NO_VALUE
ALPHA1_S006,ALPHA1_C002,0.590800,0.798600,30,-0.210700,-0.211108,-0.655903,0.204080,0.172300,False,True,False,STATE_ADDS_VALUE
ALPHA1_S007,ALPHA1_C003,0.955800,0.751900,205,-0.149454,-0.150868,-0.489876,0.195497,0.200000,False,True,False,STATE_ADDS_VALUE
ALPHA1_S008,ALPHA1_C003,0.622000,0.751900,76,-0.166958,-0.170503,-0.794667,0.460780,0.294200,False,True,False,STATE_ADDS_VALUE
ALPHA1_S009,ALPHA1_C004,0.713300,0.743300,141,-0.191237,-0.195795,-0.774918,0.384857,0.251300,False,True,False,STATE_ADDS_VALUE
ALPHA1_S010,ALPHA1_C004,0.729200,0.743300,141,-0.231690,-0.234893,-0.805530,0.337304,0.210400,False,True,False,STATE_ADDS_VALUE
ALPHA1_S011,ALPHA1_C005,0.992200,1.231100,79,0.293916,0.295592,0.007748,0.599829,0.978400,True,False,True,STATE_ADDS_NO_VALUE
ALPHA1_S012,ALPHA1_C005,0.880000,1.231100,76,0.363782,0.363856,0.144966,0.597414,0.999500,True,False,True,STATE_ADDS_NO_VALUE
ALPHA1_S013,ALPHA1_C006,0.963300,0.761400,397,-0.107769,-0.108579,-0.267826,0.051445,0.090500,False,True,False,STATE_ADDS_VALUE
