strategy_id,family_id,gross_EV,net_EV,gross_PF,net_PF,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,primary_failure_class,secondary_failure_classes,generation_status
ALPHA1_S001,FAM_A,-1.006,-5.9264,0.9633,0.8023,,,NO_NET_EDGE,NO_GROSS_EDGE,,,,,,UNEXECUTABLE_TIMING,,UNREASONABLE_TURNOVER,NO_GROSS_EDGE,NO_GROSS_EDGE;UNEXECUTABLE_TIMING;UNREASONABLE_TURNOVER,FALSIFIED
ALPHA1_S002,FAM_A,13.4466,1.2813,1.1841,1.0163,,,,,,SINGLE_EVENT_DOMINATION,ONE_PERIOD_DOMINATION,,,,,,CONCENTRATION_FAILURE,ONE_PERIOD_DOMINATION,FALSIFIED
ALPHA1_S003,FAM_A,5.1553,0.2398,1.2197,1.0093,,,,,,SINGLE_EVENT_DOMINATION,ONE_PERIOD_DOMINATION,,,UNEXECUTABLE_TIMING,,,CONCENTRATION_FAILURE,ONE_PERIOD_DOMINATION;UNEXECUTABLE_TIMING,FALSIFIED
ALPHA1_S004,FAM_B,0.5535,-4.2389,1.0171,0.8777,,,NO_NET_EDGE,,,,,,,,,,GROSS_EDGE_BUT_NO_NET_EDGE,,FALSIFIED
ALPHA1_S005,FAM_B,-6.9089,-10.9474,0.8478,0.7702,,SPARSE_EVENTS,NO_NET_EDGE,NO_GROSS_EDGE,,SINGLE_EVENT_DOMINATION,ONE_PERIOD_DOMINATION,STATE_ADDS_NO_VALUE,,,,,NO_GROSS_EDGE,NO_NET_EDGE;NO_GROSS_EDGE;SINGLE_EVENT_DOMINATION;ONE_PERIOD_DOMINATION;STATE_ADDS_NO_VALUE,FALSIFIED
ALPHA1_S006,FAM_B,-17.2849,-21.4715,0.6561,0.5908,,SPARSE_EVENTS,NO_NET_EDGE,NO_GROSS_EDGE,,,ONE_PERIOD_DOMINATION,,,,,,NO_GROSS_EDGE,NO_NET_EDGE;NO_GROSS_EDGE;ONE_PERIOD_DOMINATION,FALSIFIED
ALPHA1_S007,FAM_C,3.0476,-1.7479,1.082,0.9558,,,NO_NET_EDGE,,,SINGLE_EVENT_DOMINATION,ONE_PERIOD_DOMINATION,,,,,,GROSS_EDGE_BUT_NO_NET_EDGE,SINGLE_EVENT_DOMINATION;ONE_PERIOD_DOMINATION,FALSIFIED
ALPHA1_S008,FAM_C,-9.1802,-21.3293,0.8131,0.622,,,NO_NET_EDGE,NO_GROSS_EDGE,,,,,,,,,NO_GROSS_EDGE,NO_GROSS_EDGE,FALSIFIED
ALPHA1_S009,FAM_D,-7.4643,-12.2882,0.8153,0.7133,,,NO_NET_EDGE,NO_GROSS_EDGE,,,,,,,,,NO_GROSS_EDGE,NO_GROSS_EDGE,FALSIFIED
ALPHA1_S010,FAM_D,0.5856,-11.8191,1.0159,0.7292,,,NO_NET_EDGE,,,,,,,,,,GROSS_EDGE_BUT_NO_NET_EDGE,,FALSIFIED
ALPHA1_S011,FAM_E,4.7628,-0.1881,1.2215,0.9922,,,NO_NET_EDGE,,,SINGLE_EVENT_DOMINATION,ONE_PERIOD_DOMINATION,STATE_ADDS_NO_VALUE,,UNEXECUTABLE_TIMING,,,GROSS_EDGE_BUT_NO_NET_EDGE,SINGLE_EVENT_DOMINATION;ONE_PERIOD_DOMINATION;UNEXECUTABLE_TIMING;STATE_ADDS_NO_VALUE,FALSIFIED
ALPHA1_S012,FAM_E,7.9033,-4.4791,1.259,0.88,,,NO_NET_EDGE,,,SINGLE_EVENT_DOMINATION,ONE_PERIOD_DOMINATION,STATE_ADDS_NO_VALUE,,UNEXECUTABLE_TIMING,,,GROSS_EDGE_BUT_NO_NET_EDGE,SINGLE_EVENT_DOMINATION;ONE_PERIOD_DOMINATION;UNEXECUTABLE_TIMING;STATE_ADDS_NO_VALUE,FALSIFIED
ALPHA1_S013,FAM_X,3.9431,-1.1774,1.1343,0.9633,,,NO_NET_EDGE,,,SINGLE_EVENT_DOMINATION,ONE_PERIOD_DOMINATION,,,,,,GROSS_EDGE_BUT_NO_NET_EDGE,SINGLE_EVENT_DOMINATION;ONE_PERIOD_DOMINATION,FALSIFIED
