axis,verdict,n_bins,max_jump,n_sharp_subperiods,n_subperiods_tested,stable_flag,subperiod_classes
top500_breadth_30d,SHARP_TRANSITION_REGION,8,0.2626877470355731,4,5,1,SMOOTH_GRADIENT|BIFURCATION_CANDIDATE|BIFURCATION_CANDIDATE|BIFURCATION_CANDIDATE|BIFURCATION_CANDIDATE
top500_dispersion_30d,SHARP_TRANSITION_REGION,8,0.14942528735632182,3,5,1,SHARP_TRANSITION_REGION|BIFURCATION_CANDIDATE|SHARP_TRANSITION_REGION|NONLINEAR_REGION|NONLINEAR_REGION
age_in_cell,NONLINEAR_REGION,7,0.1139096795896056,5,5,1,SHARP_TRANSITION_REGION|SHARP_TRANSITION_REGION|SHARP_TRANSITION_REGION|BIFURCATION_CANDIDATE|SHARP_TRANSITION_REGION
rank_depth_rel,BIFURCATION_CANDIDATE,8,0.3103448275862069,4,5,1,BIFURCATION_CANDIDATE|BIFURCATION_CANDIDATE|BIFURCATION_CANDIDATE|BIFURCATION_CANDIDATE|NONLINEAR_REGION
top3_share,SHARP_TRANSITION_REGION,8,0.17949568679495687,3,5,1,NONLINEAR_REGION|BIFURCATION_CANDIDATE|SHARP_TRANSITION_REGION|BIFURCATION_CANDIDATE|NONLINEAR_REGION
vol_med,SHARP_TRANSITION_REGION,8,0.21914160401002508,3,5,1,SHARP_TRANSITION_REGION|SHARP_TRANSITION_REGION|NONLINEAR_REGION|SHARP_TRANSITION_REGION|NONLINEAR_REGION
