dimension,tile,n,p_responds
imp,HIGH_IMP,221,0.6153846153846154
imp,LOW_IMP,230,0.5347826086956522
imp,MID_IMP,221,0.5565610859728507
deter,MID_DETER,220,0.5818181818181818
deter,MILD_DETER,230,0.5260869565217391
deter,SEVERE_DETER,222,0.5990990990990991
