health_state,lag_d,n_events,med_top500_breadth_30d,med_top500_dispersion_30d,med_rank_depth_rel,med_top3_share,med_btc_return_30d,med_vol_med,p_state_success,p_state_concentration
PRICE_RECOVERY_RANK_RECOVERY,-14,339,0.252,0.29666125960731543,-0.03518305608473743,0.7145152749395456,-0.003792560768328568,0.0518840411414236,0.22418879056047197,0.1976401179941003
PRICE_RECOVERY_RANK_RECOVERY,-7,339,0.261,0.3003242592511318,-0.026436038437771314,0.713574806410388,0.00898468134887831,0.05159556858436589,0.2448377581120944,0.22418879056047197
PRICE_RECOVERY_RANK_RECOVERY,-3,339,0.239,0.2930689863539433,-0.029536481369694917,0.7133321690386276,-0.006502484554194665,0.05216461230995752,0.23893805309734514,0.2153392330383481
PRICE_RECOVERY_RANK_RECOVERY,-1,339,0.252,0.28627255883334507,-0.02222983772076237,0.7138301295014933,-0.008025876689920608,0.052619888388839325,0.21238938053097345,0.2182890855457227
PRICE_RECOVERY_RANK_RECOVERY,0,339,0.252,0.28788456106655586,-0.028250415444848603,0.711595440888797,0.006175622234859013,0.05249300111089304,0.23893805309734514,0.23893805309734514
PRICE_RECOVERY_RANK_RECOVERY,1,339,0.322,0.2917764573079126,-0.02586625588804431,0.711576264711814,-0.002436280857289419,0.05237571116796405,0.25073746312684364,0.23893805309734514
PRICE_RECOVERY_RANK_RECOVERY,3,339,0.276,0.2986936710007529,-0.027863694896209656,0.7126569867116915,-0.001117903561908662,0.05247578403914784,0.23303834808259588,0.20058997050147492
PRICE_RECOVERY_RANK_RECOVERY,7,339,0.316,0.32097109646973293,-0.029384284684831008,0.7129986019093117,0.003791208785278277,0.05162692550575174,0.23008849557522124,0.25958702064896755
PRICE_RECOVERY_RANK_RECOVERY,14,339,0.328,0.3392291468276483,-0.028196020127799537,0.7146634191262202,0.027189979259263475,0.05190351519798653,0.2448377581120944,0.25958702064896755
PRICE_RECOVERY_RANK_RECOVERY,30,339,0.326,0.32913678661078694,-0.03077431094648242,0.7133343238565504,0.024127364641684412,0.048111630680667636,0.2743362831858407,0.24778761061946902
PRICE_RECOVERY_RANK_DECAY,-14,282,0.304,0.3537189334321009,-0.03429149889364885,0.715177477046026,0.009096612252622038,0.05292091047380513,0.2375886524822695,0.24468085106382978
PRICE_RECOVERY_RANK_DECAY,-7,282,0.322,0.34606938406017645,-0.03155285992007817,0.716504000983695,0.01688817837155332,0.051547419065849746,0.22695035460992907,0.28368794326241137
PRICE_RECOVERY_RANK_DECAY,-3,282,0.356,0.3427169848749302,-0.028464581629227215,0.715157525279368,0.04558879458846732,0.05202968758909219,0.24822695035460993,0.2978723404255319
PRICE_RECOVERY_RANK_DECAY,-1,282,0.368,0.3349978087860878,-0.029078146010382444,0.7161577786645462,0.044796645554500136,0.051272513735114426,0.23049645390070922,0.3262411347517731
