btc_dominance,btc_return_14d,btc_return_1d,btc_return_30d,btc_return_3d,btc_return_60d,btc_return_7d,btc_return_90d,eth_btc_relative_return_14d,eth_btc_relative_return_1d,eth_btc_relative_return_30d,eth_btc_relative_return_3d,eth_btc_relative_return_60d,eth_btc_relative_return_7d,eth_btc_relative_return_90d,eth_return_14d,eth_return_1d,eth_return_30d,eth_return_3d,eth_return_60d,eth_return_7d,eth_return_90d,eth_share,historical_date,n_stablecoins_in_top500,stablecoin_mcap_share,top500_breadth_30d,top500_breadth_7d,top500_dispersion_30d,top500_dispersion_7d,total_alt_share,total_mcap,pos_ret_share,pos_vel7_share,med_ret30_11_50,med_ret30_51_200,med_ret30_201_500,stablecoin_total_mcap,stablecoin_change_30d,total_mcap_chg30,btc_dom_chg30,big_alt_rel30,mid_rel30,small_rel30,eth_rel30,state,vol_med,top3_share,top3_share_chg7,mkt_ret_1d,BTC_UP,BTC_DOWN,VOL_HIGH,VOL_LOW,BREADTH_EXPANDING,BREADTH_CONTRACTING,SC_INFLOW,SC_OUTFLOW,CONC_RISING,CONC_FALLING,rb_spread,chain_tvl_med_chg7,dex_volume_change_7d,fees_change_7d,stablecoin_change_7d,subperiod,ETH_STRONG,ETH_WEAK,CHAIN_EXPANDING,CHAIN_CONTRACTING,RISK_ON,RISK_OFF,vol_p70,vol_p30,leadership_width,breadth_vel,breadth_accel,breadth_axis,breadth_persistence,breadth_exhaustion,breadth_divergence,breadth_oscillation,rank_depth_rel,rank_depth_rel_chg,cell,d,ev_ISOLATED_DOWNSIDE_EXTREME,ev_ISOLATED_DOWNSIDE_EXTREME_fwd1,ev_ISOLATED_DOWNSIDE_EXTREME_fwd3,ev_ISOLATED_DOWNSIDE_EXTREME_fwd7,ev_ISOLATED_DOWNSIDE_EXTREME_fwd14,ev_LOCAL_CLUSTER_DOWNSIDE,ev_LOCAL_CLUSTER_DOWNSIDE_fwd1,ev_LOCAL_CLUSTER_DOWNSIDE_fwd3,ev_LOCAL_CLUSTER_DOWNSIDE_fwd7,ev_LOCAL_CLUSTER_DOWNSIDE_fwd14,ev_BAND_BROAD_UPSIDE,ev_BAND_BROAD_UPSIDE_fwd1,ev_BAND_BROAD_UPSIDE_fwd3,ev_BAND_BROAD_UPSIDE_fwd7,ev_BAND_BROAD_UPSIDE_fwd14,ev_MULTI_BAND_UPSIDE,ev_MULTI_BAND_UPSIDE_fwd1,ev_MULTI_BAND_UPSIDE_fwd3,ev_MULTI_BAND_UPSIDE_fwd7,ev_MULTI_BAND_UPSIDE_fwd14,ev_ISOLATED_UPSIDE,ev_ISOLATED_UPSIDE_fwd1,ev_ISOLATED_UPSIDE_fwd3,ev_ISOLATED_UPSIDE_fwd7,ev_ISOLATED_UPSIDE_fwd14,ev_COORDINATED_DOWNSIDE,ev_COORDINATED_DOWNSIDE_fwd1,ev_COORDINATED_DOWNSIDE_fwd3,ev_COORDINATED_DOWNSIDE_fwd7,ev_COORDINATED_DOWNSIDE_fwd14,fwd7_state,fwd14_state,prop7,reentry7,mixed7,_run,age_in_cell,prev_cell,prev_d,brd_delta,disp_delta,dist_brd_prior,dist_disp_prior,days_near_boundary,overshoot_brd,overshoot_disp,vel_class,fwd7_prop,fwd7_reentry,fwd7_isol_dn,fwd7_band_up
0.5731696508772168,-0.12945393964624974,-0.03255828761660018,-0.13669244740245545,-0.10902951057140664,0.09914204548634764,-0.11621741106528394,0.04208638331979464,-0.02357709734885416,-0.10390602753218847,-0.014466105944813346,-0.12908590419015453,0.3031766335598609,-0.045467811265608504,0.32538854076276214,-0.1530310369951039,-0.13646431514878865,-0.1511585533472688,-0.23811541476156117,0.40231867904620855,-0.16168522233089244,0.3674749240825568,0.11500853594603702,2020-09-05 23:59:59,16,0.055057723803975694,0.264,0.082,0.4911955438552742,0.19225607951818827,0.42683034912278317,327896183945.1322,0.082,0.35,-0.0848000339530407,-0.07996455672108638,-0.1627247941230867,16250017617.0,0.19670818507891497,-0.09824350648892022,-0.02464557539876877,0.051892413449414754,0.056727890681369075,-0.02603234672063126,-0.014466105944813346,STABLECOIN_PARKING,0.07192720450975439,0.7311573114310802,0.00320089890800912,-0.05826702691353013,False,True,True,False,False,True,True,False,True,False,5.0,1.7657877820176404,2.9883127501055635,1.164736069921564,0.009885357803677275,2020-2021,False,True,True,False,False,True,0.05602979870589408,0.04697779369860077,0,-0.33199999999999996,-0.2699999999999999,BREADTH_FADING,1.0,0,0,1,-0.07792476017004601,-0.027795421495039885,LOW_BREADTH_HIGH_DISP,2020-09-05,0,0,0,1,1,0,7,4,9,2,25,53,34,42,22,0,0,0,0,0,0,0,0,0,0,71,20,30,6,14,STABLECOIN_PARKING,NARROW_LEADERSHIP,0.0,0.0,0.0,3,1,HIGH_BREADTH_HIGH_DISP,2020-09-04,-0.07999999999999996,-0.18590177963053678,0.033999999999999975,0.1841955438552742,0,0.092,0.2390514969873861,HARD_CROSS,0.0,0.0,1,42
0.5636705527516528,-0.11868961277653911,0.010893726329989084,-0.11387528496596999,0.0034215717001053747,0.09036789544204704,-0.12220071766395235,0.05207621830744702,0.021541580149943895,0.04310073268724568,0.04496961019707779,-0.08719656363833961,0.34216238256636466,-0.05294914690602903,0.38254848717885137,-0.09714803262659522,0.053994459017234764,-0.0689056747688922,-0.08377499193823423,0.4325302780084117,-0.17514986456998138,0.4346247054862984,0.11793323072949939,2020-09-06 23:59:59,18,0.05403094527490118,0.314,0.092,0.5460514969873861,0.20337183495945133,0.4363294472483472,337071385875.64233,0.814,0.348,-0.005241726968672089,-0.03522050575184882,-0.12515407459874256,16314487648.0,0.20215220807203194,-0.0563528065330724,-0.035706663399137306,0.1086335579972979,0.07865477921412117,-0.011278789632772568,0.04496961019707779,STABLECOIN_PARKING,0.0754780980313242,0.7236353897588619,-0.0045808875435758845,0.030449272729170647,False,True,True,False,False,True,True,False,False,True,4.0,1.9194362964010523,2.274663409435452,0.9591612006929975,0.013903917580403213,2020-2021,True,False,True,False,False,True,0.05620238420929902,0.047245168790942975,0,-0.37599999999999995,-0.4679999999999999,BREADTH_FADING,0.0,0,1,1,-0.11991234763007047,0.006660142331776087,HIGH_BREADTH_HIGH_DISP,2020-09-06,0,0,1,0,2,7,15,15,5,0,53,32,43,19,32,0,0,0,0,0,0,0,0,0,0,20,10,0,23,20,STABLECOIN_PARKING,NARROW_LEADERSHIP,0.0,0.0,0.0,4,1,LOW_BREADTH_HIGH_DISP,2020-09-05,0.04999999999999999,0.05485595313211189,0.0040000000000000036,0.1841955438552742,1,0.092,0.2390514969873861,MODERATE_CROSS,0.0,0.0,0,19
0.5664466335029062,-0.11932741656064705,0.008677916668184738,-0.1177877044948954,-0.013532406843805966,0.11765462471848553,-0.11225724708006979,0.0585832082003277,-0.016582174775568115,-0.010627108749219683,0.01292677790353236,-0.07807984638500665,0.3335812668946536,-0.07714768710931819,0.38142087994983553,-0.13590959133621516,-0.001949192081034945,-0.10486092659136304,-0.09161225322881261,0.45123589161313915,-0.18940493418938797,0.44000408815016323,0.11727265356689243,2020-09-07 23:59:59,17,0.05393502658526427,0.268,0.082,0.4776093332857375,0.21596835676099876,0.43355336649709375,338349974295.32654,0.35,0.372,-0.06550012292174778,-0.0847032972159022,-0.16097340100484436,16369358912.0,0.19903518999071368,-0.07219394497808396,-0.028391708883712452,0.05228758157314761,0.0330844072789932,-0.04318569650994897,0.01292677790353236,STABLECOIN_PARKING,0.07253071073546442,0.7255492239485166,0.0024656204080797384,0.0035896036860332205,False,True,True,False,False,True,True,False,True,False,2.0,1.1709091321128389,0.5656650398542369,1.272666179372953,0.004634080662661466,2020-2021,True,False,True,False,False,True,0.056647050685626,0.047374017540205135,0,-0.276,-0.20400000000000007,BREADTH_FADING,0.0,0,1,1,-0.09547327808309658,-0.08702871467129125,LOW_BREADTH_HIGH_DISP,2020-09-07,0,0,0,0,0,15,4,4,5,0,32,34,26,38,18,0,0,22,0,0,0,0,0,0,0,10,30,17,6,54,NARROW_LEADERSHIP,STABLECOIN_PARKING,0.0,0.0,0.0,5,1,HIGH_BREADTH_HIGH_DISP,2020-09-06,-0.045999999999999985,-0.06844216370164857,0.0040000000000000036,0.17060933328573752,1,0.092,0.23744206172836885,HARD_CROSS,0.0,0.0,0,38
0.5771098260902459,0.008939226590116478,-0.04351799825638725,-0.1043985751452946,-0.0440698437214212,0.0919717131904032,-0.02046448283434832,0.08646217976732551,-0.039810332165310824,-0.03535689519345753,-0.032145812989159306,-0.06670642013648576,0.15229366703517222,-0.07358727535380427,0.3134848675806998,-0.030871105575194346,-0.07887489344984477,-0.1365443881344539,-0.11077626385790695,0.24426538022557542,-0.09405175818815259,0.39994704734802533,0.1148747242551267,2020-09-21 23:59:59,15,0.06263015493820073,0.142,0.164,0.30692067072197027,0.1868438700729207,0.42289017390975414,335316292289.2871,0.096,0.422,-0.06022017709381422,-0.2719716727139223,-0.29359072002962794,18900033656.0,0.22582657422208685,-0.09717191221506216,-0.0037685982339242807,0.04417839805148038,-0.1675730975686277,-0.18919214488433334,-0.032145812989159306,STABLECOIN_PARKING,0.0715196921656022,0.7374457333050773,0.015545742523765171,-0.05184235720597269,False,True,True,False,False,True,True,False,True,False,-1.5,0.8074937666342825,-0.22769437891055722,-0.21417752279151359,0.08798803239362596,2020-2021,False,True,True,False,False,True,0.05899149130738859,0.04851805972069516,0,-0.032,0.018000000000000016,BREADTH_FADING,0.0,0,0,0,-0.23337054293581372,-0.060625233894008146,LOW_BREADTH_LOW_DISP,2020-09-21,0,0,2,0,0,0,12,3,7,4,18,48,25,31,42,0,0,70,0,0,0,0,0,0,0,54,7,6,21,16,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,0.0,0.0,1.0,6,1,LOW_BREADTH_HIGH_DISP,2020-09-20,-0.036000000000000004,-0.0459508941672081,0.10999999999999999,7.932927802972722e-05,1,0.196,0.056795599013443,MODERATE_CROSS,0.0,0.0,0,31
0.5638673448328338,0.00037478833880100204,-0.027734016125606553,-0.129805673942204,-0.06327186246154648,0.05880606811931721,-0.06639860717648571,0.10592479796049425,-0.0858001472802119,-0.04015170318827466,-0.08342261225031755,-0.07130872910206465,-0.002699583025309593,-0.055784203627160744,0.27258525775742903,-0.0854253589414109,-0.06788571931388121,-0.21322828619252154,-0.13458059156361113,0.05610648509400762,-0.12218281080364646,0.3785100557179233,0.10795312435984332,2020-09-23 23:59:59,16,0.06899917837380934,0.114,0.13,0.3177625626024489,0.18477408172159548,0.43613265516716615,336679585813.43823,0.108,0.344,-0.26997147081782585,-0.3580915792252649,-0.2811910038578347,18988744019.0,0.21633938253869744,-0.10703852158601457,-0.0129405497754006,-0.14016579687562186,-0.22828590528306092,-0.1513853299156307,-0.08342261225031755,STABLECOIN_PARKING,0.07072783440264098,0.7204856575603731,-0.009650795266839318,-0.03585256999515231,False,True,True,False,False,True,True,False,False,True,-22.5,1.0338504406960802,-0.29617929200036475,-0.4963407688390331,0.13098802692811895,2020-2021,False,True,True,False,False,True,0.05933688860953551,0.04852931825360853,0,-0.08600000000000001,-0.10200000000000002,BREADTH_FADING,0.0,0,0,0,-0.011219533040008833,0.18785934083952754,LOW_BREADTH_HIGH_DISP,2020-09-23,0,2,1,1,0,3,3,7,3,8,15,25,35,20,32,49,70,0,23,21,0,0,0,0,0,66,6,6,15,16,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,0.0,0.0,1.0,7,1,LOW_BREADTH_LOW_DISP,2020-09-22,-0.013999999999999999,0.01324410911351459,0.132,7.932927802972722e-05,3,0.196,0.1244674892501898,SOFT_CROSS,0.0,0.0,1,43
0.5551362936992387,0.02805546778973289,-0.006259166330655819,-0.06925671162653158,0.014637516898765801,-0.027127615487357537,-0.023013076662658394,0.18211775074201375,-0.08813715728733629,0.01435309618400804,-0.019451915915092655,0.007655696226709585,0.12251739057811462,-0.06071290147835995,0.3974641602075013,-0.0600816894976034,0.008093929853352222,-0.08870862754162423,0.022293213125475386,0.09538977509075708,-0.08372597814101834,0.5795819109495151,0.11169707978719762,2020-09-25 23:59:59,16,0.0653286511208891,0.136,0.226,0.30027639764774083,0.16274388871172082,0.44486370630076133,356878955916.3686,0.606,0.354,-0.18345067135456516,-0.2875967488096977,-0.21329316115703667,19143946257.0,0.21605454711393524,-0.024264626286014,-0.025064140323977524,-0.11419395972803359,-0.21834003718316614,-0.1440364495305051,-0.019451915915092655,MIXED_NO_CLEAR_ROUTE,0.07330600166997965,0.7127690747009477,-0.016451807582386402,0.00565707506200658,False,True,True,False,False,True,True,False,False,True,-22.0,0.266381873625093,-0.49385738050395334,-0.5491402224355297,0.04974837891390527,2020-2021,False,True,True,False,False,True,0.06024251824310371,0.04859836373463741,0,-0.04199999999999998,-0.045999999999999985,BREADTH_FADING,0.0,0,1,0,-0.029842489802471506,0.15166482533711156,LOW_BREADTH_LOW_DISP,2020-09-25,2,1,0,0,1,0,7,7,8,10,35,35,31,31,46,0,0,0,0,0,0,0,0,0,0,16,6,21,28,0,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,0.0,0.0,1.0,8,1,LOW_BREADTH_HIGH_DISP,2020-09-24,-0.00799999999999998,-0.06351920136570216,0.166,7.932927802972722e-05,4,0.198,0.3219683243402444,HARD_CROSS,0.0,0.0,0,31
0.5540600794409177,0.029548739209298125,0.005424848103441571,-0.050574350765180354,0.04924145061912011,-0.014854036459664988,-0.03097277554877198,0.175767150599343,-0.11140928129731842,0.003959032814686125,-0.020367172438431336,0.057796937572181184,0.13748138114560549,-0.04698528715039374,0.40174586119794475,-0.0818605420880203,0.009383880918127696,-0.07094152320361169,0.10703838819130129,0.1226273446859405,-0.07795806269916572,0.5775130117972878,0.11191951213218286,2020-09-26 23:59:59,16,0.06488249225982456,0.158,0.184,0.4314674892501898,0.26372486128349093,0.44593992055908227,359511937396.29315,0.598,0.344,-0.1338651307765245,-0.24866553482801856,-0.18319719953325542,19167981519.0,0.21834785327138206,0.0006452327834318705,-0.028138673807861836,-0.08329078001134416,-0.1980911840628382,-0.13262284876807506,-0.020367172438431336,MIXED_NO_CLEAR_ROUTE,0.07259724416675171,0.711595440888797,-0.018731051919710584,0.023346464731475166,False,True,True,False,False,True,True,False,False,True,-19.5,0.1601205862496372,-0.5385066899645143,-0.5861923003469891,0.04059798517455526,2020-2021,False,True,True,False,True,False,0.06062289098254301,0.048632886475151856,0,0.016000000000000014,0.048000000000000015,BREADTH_STABLE,0.0,0,0,0,-0.04933206875673091,0.1840384741790828,LOW_BREADTH_HIGH_DISP,2020-09-26,1,1,0,0,0,7,0,7,15,2,35,41,28,26,42,0,0,21,0,0,0,0,0,0,0,6,13,12,0,24,BTC_CONCENTRATION,BTC_CONCENTRATION,0.0,1.0,0.0,9,1,LOW_BREADTH_LOW_DISP,2020-09-25,0.021999999999999992,0.13119109160244896,0.152,0.002481546511065691,3,0.20800000000000002,0.3219683243402444,HARD_CROSS,0.0,1.0,0,26
0.5756546692564601,0.08789658929857835,0.02252628542353241,0.05838026487647041,0.03708796272474202,-0.011477538766999307,0.016154772839465537,0.25249898893824896,-0.01450107939783285,-0.0179735383143369,-0.07292793971906153,0.0003383234057221518,-0.07618023567916998,-0.03626059592790565,0.2981527221162741,0.0733955099007455,0.00455274710919551,-0.014547674842591118,0.03742628613046417,-0.08765777444616929,-0.02010582308844011,0.550651711054523,0.1137870925768706,2020-10-19 23:59:59,17,0.061962601395856735,0.194,0.192,0.2787956480207045,0.17016024453643896,0.42434533074353986,377933487472.5959,0.446,0.47,-0.01809391752095918,-0.1363763081294766,-0.08343360755262696,20028314554.0,0.08653483966897468,0.046086463618277174,0.007718811281068105,-0.07647418239742959,-0.194756573005947,-0.14181387242909738,-0.07292793971906153,BTC_CONCENTRATION,0.052947226492316236,0.7327917853064948,0.10723972420157235,0.013528957325799947,True,False,False,False,False,True,True,False,True,False,-2.5,-0.017322478485988335,-0.2507988493554364,-0.25180142713303855,-0.0019354259170417665,2020-2021,False,True,False,True,True,False,0.06030966920113057,0.04976986596164484,0,-0.017999999999999988,0.02400000000000002,BREADTH_STABLE,1.0,0,1,1,-0.06533969003166779,-0.026389596398252058,LOW_BREADTH_LOW_DISP,2020-10-19,0,1,0,0,0,4,5,5,8,5,57,26,25,0,36,0,27,23,52,22,0,0,0,1,0,20,22,22,21,32,BTC_CONCENTRATION,BTC_CONCENTRATION,0.0,1.0,0.0,10,1,LOW_BREADTH_HIGH_DISP,2020-10-18,-0.027999999999999997,-0.22025861458554996,0.057999999999999996,0.028204351979295494,0,0.11599999999999999,0.028204351979295494,HARD_CROSS,0.0,1.0,0,52
0.5939408268434757,0.20196143066865213,0.07614371684714438,0.22570932637767638,0.11671927999939302,0.09774701916154793,0.12198096702196737,0.3384399129980862,-0.05456523349102027,-0.013692493171450382,-0.07823727670852665,-0.07976591454553872,-0.10695583841585987,-0.0884988498030781,0.08931983318171888,0.14739619717763186,0.062451223675694,0.14747204966914973,0.0369533654538543,-0.00920881925431194,0.033482117218889274,0.42775974617980506,0.11096629729439773,2020-10-21 23:59:59,17,0.05894583319180897,0.328,0.382,0.31442521894554454,0.21470345521977885,0.4060591731565243,400040315187.32,0.744,0.436,0.04166191004837194,-0.042304690921541876,-0.03195591971105871,20490481064.0,0.07137220143888356,0.19302379391155133,0.016831000753229852,-0.18404741632930444,-0.26801401729921825,-0.2576652460887351,-0.07823727670852665,BTC_CONCENTRATION,0.05060399432506113,0.7459017148801675,0.021560336285591064,0.06362733454061677,True,False,False,False,False,True,True,False,True,False,0.5,-0.026142398562782887,-0.07575384959887033,-0.021765407174859863,0.004251745342123803,2020-2021,False,True,False,True,True,False,0.060150755499637755,0.049818423875039874,0,0.11600000000000002,0.12800000000000003,BREADTH_EXPANDING,2.0,0,0,1,-0.07361782975943065,-0.037603224376705435,HIGH_BREADTH_HIGH_DISP,2020-10-21,0,0,0,0,0,3,5,9,0,5,24,25,41,0,38,72,23,0,247,66,0,0,0,0,0,19,22,12,224,39,BTC_CONCENTRATION,BTC_CONCENTRATION,0.0,1.0,0.0,11,1,LOW_BREADTH_LOW_DISP,2020-10-20,0.11600000000000002,0.017804597924138965,0.018000000000000016,0.007425218945544543,2,0.192,0.06055809736895923,HARD_CROSS,0.0,1.0,0,247
0.5895591930686893,0.18782196647813665,0.01108901650297045,0.23034019155756136,0.10422843365519463,0.11153538359093784,0.12792491614316992,0.35955092689327905,-0.008195649422485074,0.0439430535620744,-0.029268509360179662,-0.015167596517516424,-0.05433206343096075,-0.031668638891318324,0.12236224351731839,0.17962631705565157,0.05503207006504485,0.2010716821973817,0.0890608371376782,0.05720332015997709,0.0962562772518516,0.48191317041059745,0.11493481466956676,2020-10-22 23:59:59,17,0.05789735279523665,0.35,0.454,0.3011112202562216,0.18522716925522503,0.4104408069313107,407482457697.92566,0.674,0.432,0.030404469307288573,-0.04382318064658142,-0.012509433741635989,20582540993.0,0.08415050665770085,0.20373262396674208,0.013715394892672372,-0.19993572225027278,-0.2741633722041428,-0.24284962529919735,-0.029268509360179662,BTC_CONCENTRATION,0.049723377651300193,0.7447100388945225,0.019941962461619056,0.01959735819160547,True,False,False,True,False,True,True,False,True,False,0.0,-0.047751963477702386,0.2445414411385045,0.15254200301667553,0.02224296249675728,2020-2021,False,True,False,True,True,False,0.06008293610178186,0.04976619592925287,0,0.12599999999999997,0.07199999999999998,BREADTH_EXPANDING,2.0,0,0,1,-0.04291390304892456,-0.00895824585797439,HIGH_BREADTH_LOW_DISP,2020-10-22,0,1,0,0,0,5,5,4,3,0,25,14,30,50,39,23,26,23,48,28,0,0,0,0,0,22,32,19,30,45,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,0.0,0.0,1.0,12,1,HIGH_BREADTH_HIGH_DISP,2020-10-21,0.021999999999999964,-0.013313998689322926,0.018000000000000016,0.005888779743778383,3,0.192,0.09789030524777009,SOFT_CROSS,0.0,0.0,0,98
