lag_d,var,responds_med,no_resp_med,diff,ranksum_p,p_fdr
-3,top500_breadth_30d,0.344,0.31,0.033999999999999975,0.3855360050372585,0.5507657214817979
-3,top500_dispersion_30d,0.3312202411865719,0.3112832852104333,0.019936955976138593,0.2386112368327813,0.5507657214817979
-3,rank_depth_rel,-0.03041827786525847,-0.02249957992196361,-0.007918697943294861,0.3657153007384406,0.5507657214817979
-3,vol_med,0.05163978688192078,0.050849070360406895,0.0007907165215138845,0.23091830739651775,0.5507657214817979
-1,top500_breadth_30d,0.326,0.293,0.03300000000000003,0.7329067091300275,0.7714807464526606
-1,top500_dispersion_30d,0.32694260654581186,0.3103432495126015,0.01659935703321036,0.6702281465219082,0.744697940579898
-1,rank_depth_rel,-0.028933074300248274,-0.034474803264105125,0.005541728963856851,0.3439346966029647,0.5507657214817979
-1,vol_med,0.05282037640093605,0.050729477909987136,0.0020908984909489142,0.11380581654086727,0.4552232661634691
0,top500_breadth_30d,0.359,0.309,0.04999999999999999,0.46522218794861736,0.6202962505981565
0,top500_dispersion_30d,0.33275796598353585,0.3074909752378171,0.025266990745718754,0.2617603687049842,0.5507657214817979
0,rank_depth_rel,-0.03296707503030061,-0.03549825013080071,0.002531175100500105,0.5753668526857709,0.6769021796303187
0,vol_med,0.05282170302625434,0.05030740174374652,0.0025143012825078193,0.09152522799727623,0.4552232661634691
1,top500_breadth_30d,0.394,0.327,0.067,0.3796312279780494,0.5507657214817979
1,top500_dispersion_30d,0.3288673261947202,0.31442521894554454,0.014442107249175662,0.3748122484304848,0.5507657214817979
1,rank_depth_rel,-0.03296186310644156,-0.032943518782559134,-1.834432388242435e-05,0.9651997012170735,0.9651997012170735
1,vol_med,0.052298851914797606,0.0504018486955368,0.0018970032192608052,0.10965638606201283,0.4552232661634691
3,top500_breadth_30d,0.41,0.279,0.13099999999999995,0.010326732019669198,0.20653464039338396
3,top500_dispersion_30d,0.33317686361919957,0.30645321698184336,0.026723646637356213,0.02141128689921872,0.21411286899218718
3,rank_depth_rel,-0.03246965230592913,-0.035314296958204205,0.0028446446522750746,0.5323809086037763,0.6654761357547203
3,vol_med,0.051272513735114426,0.0501957327313122,0.0010767810038022282,0.28900252610511645,0.5507657214817979
