historical_date,cmc_id,rank,rank_band,ret_1d,sigma_t0,fwd1_cum,fwd2_cum,fwd3_cum,fwd5_cum,fwd7_cum,fwd10_cum,fwd14_cum,fwd21_cum,fwd30_cum,rank_vel_1d,rank_vel_3d,rank_vel_7d,rank_vel_14d,rank_vel_30d,volume_24h_usd,vol_prev7_med,listing_age_days,log10_mcap,mcap_q_within_date,momentum_state,top500_breadth_30d,top500_dispersion_30d,mkt_vol_30d,btc_ret_1d,eth_ret_1d,z1,sign,ns,cls,family,fwd7_sigma,reversal,subperiod,event_id,price_outcome,pre_rank_state,fwd_rank_vel_7d,rank_outcome,price_recovered,price_new_low,rank_recovered,rank_decayed,cross_state,response_class,resp3,rank_depth_rel,vol_med,cell,age_in_cell,BTC_UP,RISK_ON,field_imp_max14
2022-05-19 23:59:59,3,637,501-750,-0.1402542,0.051984344,-0.05317259,0.027108707,0.056158505,0.10463218,0.0403732,0.12616721,0.07574995,0.16976047,0.01818742,-37.0,-118.0,-59.0,-5.0,-16.0,35970.81,8803.7,3308,7.27807,3.0,SHORT_COLD_MEDIUM_COLD,0.038,0.18535346958186855,0.08232451,0.05550308,0.05305076,2.6980085,-1,1,ISOLATED,ISOLATED_DOWNSIDE_EXTREME,0.2935429,1,2022,LF2EV_3_20220519,LATE_RECOVERY,RANK_DETERIORATING,12.0,RANK_RECOVERY,1,0,1,0,PRICE_RECOVERY_RANK_RECOVERY,WEAK_RESPONSE,WEAK_DELAYED,-0.020438054328309918,0.08232451602801194,LOW_BREADTH_LOW_DISP,27.0,0.0,0.0,0.036000000000000004
2022-08-04 23:59:59,3,663,501-750,-0.07783101,0.038312763,-0.040747,-0.09033031,0.080965295,-0.06678095,0.021012856,0.021546718,0.037428033,-0.041670352,-0.053708553,-11.0,-16.0,-20.0,-13.0,-50.0,14230.27,5538.19,3385,7.2117076,3.0,SHORT_COLD_MEDIUM_COLD,0.784,0.32964219397872907,0.046320464,-0.009434717,-0.006590208,2.0314643,-1,1,ISOLATED,ISOLATED_DOWNSIDE_EXTREME,0.20729679,1,2022,LF2EV_3_20220804,LATE_RECOVERY,RANK_DETERIORATING,-20.0,RANK_CONTINUED_DETERIORATION,1,0,0,1,PRICE_RECOVERY_RANK_DECAY,WEAK_RESPONSE,WEAK_DELAYED,-0.061699637523772055,0.04632046400385673,HIGH_BREADTH_HIGH_DISP,7.0,1.0,1.0,0.09999999999999998
2025-02-28 23:59:59,3,974,751-1000,-0.103773214,0.020083247,0.02564678,0.14801891,0.0869042,0.10949754,0.10007227,0.090848364,0.1409201,0.1052408,0.080311835,-32.0,68.0,-25.0,-1.0,141.0,71541.15,6244.48,4324,7.119404,2.0,SHORT_COLD_MEDIUM_COLD,0.074,0.20349815762990844,0.056762744,-0.003910245,-0.029312344,5.1671534,-1,1,ISOLATED,ISOLATED_DOWNSIDE_EXTREME,1.8833491,1,2025-2026,LF2EV_3_20250228,EARLY_1SIGMA_RECOVERY,RANK_DETERIORATING,52.0,RANK_RECOVERY,1,0,1,0,PRICE_RECOVERY_RANK_RECOVERY,RESPONDS,RESPONDS,-0.0047457206288357145,0.056762743814060115,LOW_BREADTH_LOW_DISP,8.0,0.0,0.0,0.08399999999999999
2024-11-30 23:59:59,5,1131,1001-1500,-0.09408985,0.04246637,0.020048201,0.006969483,0.08128629,0.03468193,0.2741454,0.2535571,0.3231065,0.13005544,0.021716716,-44.0,-11.0,-37.0,-80.0,-112.0,118467.62,108739.53,4234,7.071925,2.0,SHORT_HOT_MEDIUM_COLD,0.856,0.5972496548166496,0.06204826,-0.0103883855,0.031226125,2.2156322,-1,1,ISOLATED,ISOLATED_DOWNSIDE_EXTREME,2.4399831,1,2024,LF2EV_5_20241130,LATE_RECOVERY,RANK_DETERIORATING,31.0,RANK_RECOVERY,1,0,1,0,PRICE_RECOVERY_RANK_RECOVERY,RESPONDS,RESPONDS,-0.12842279894526987,0.0620482607352031,HIGH_BREADTH_HIGH_DISP,18.0,1.0,1.0,0.06999999999999995
2020-12-27 23:59:59,45,693,501-750,-0.3141175,0.14906022,0.08231903,-0.03949216,0.13655421,0.04732702,0.046234924,0.3002462,0.12769406,-0.23051456,-0.26421753,-110.0,-30.0,-123.0,-122.0,-107.0,20364.836,12748.792,1076,6.7954507,3.0,SHORT_COLD_MEDIUM_COLD,0.478,1.6647810727420562,0.060175512,-0.0062315203,0.07361417,2.1073194,-1,1,ISOLATED,ISOLATED_DOWNSIDE_EXTREME,0.11723557,1,2020-2021,LF2EV_45_20201227,LATE_RECOVERY,RANK_DETERIORATING,-40.0,RANK_CONTINUED_DETERIORATION,1,0,0,1,PRICE_RECOVERY_RANK_DECAY,WEAK_RESPONSE,WEAK_DELAYED,-0.012259081804418592,0.06017551291014876,HIGH_BREADTH_HIGH_DISP,9.0,1.0,1.0,0.316
2021-07-28 23:59:59,66,773,751-1000,-0.19447777,0.0845604,0.0018238337,0.02229218,0.20964597,0.13050634,0.11961442,0.2245716,0.32675624,0.43987516,0.46648046,-70.0,-12.0,-19.0,-21.0,-27.0,649110.1,650322.06,2793,7.101628,3.0,SHORT_HOT_MEDIUM_HOT,0.58,0.7190862015981461,0.05521085,0.01494573,-0.0007779399,2.299868,-1,1,ISOLATED,ISOLATED_DOWNSIDE_EXTREME,0.53464746,1,2020-2021,LF2EV_66_20210728,LATE_RECOVERY,RANK_DETERIORATING,-3.0,RANK_CONTINUED_DETERIORATION,1,0,0,1,PRICE_RECOVERY_RANK_DECAY,RESPONDS,RESPONDS,-0.0026228760626256786,0.055210849813347285,HIGH_BREADTH_HIGH_DISP,8.0,1.0,1.0,0.21799999999999997
2022-06-23 23:59:59,77,879,751-1000,-0.18131511,0.059640992,0.33289415,0.3570171,0.35568935,0.29782403,0.3306461,0.32279176,0.4330969,0.34865934,0.42114493,-55.0,-41.0,-44.0,35.0,98.0,1020.87,15457.96,3108,6.7398667,2.0,SHORT_COLD_MEDIUM_COLD,0.106,0.22685557906995632,0.062651224,0.05497806,0.08746706,3.040109,-1,1,ISOLATED,ISOLATED_DOWNSIDE_EXTREME,2.0954125,1,2022,LF2EV_77_20220623,EARLY_1SIGMA_RECOVERY,RANK_DETERIORATING,61.0,RANK_RECOVERY,1,0,1,0,PRICE_RECOVERY_RANK_RECOVERY,RESPONDS,RESPONDS,-0.0020779846719460315,0.06265122382846842,LOW_BREADTH_LOW_DISP,11.0,0.0,0.0,0.12
2023-01-20 23:59:59,77,912,751-1000,-0.36652458,0.033542193,0.019358128,0.029178325,0.3303567,0.39787406,0.3986136,0.46716326,0.39223826,0.55333894,0.63768035,-128.0,-127.0,-111.0,-137.0,-140.0,31412.04,18896.18,3319,6.7253203,2.0,SHORT_COLD_MEDIUM_COLD,0.866,0.35665620541863957,0.032781374,0.07539119,0.069045834,10.927269,-1,1,ISOLATED,ISOLATED_DOWNSIDE_EXTREME,4.491709,1,2023,LF2EV_77_20230120,LATE_RECOVERY,RANK_DETERIORATING,85.0,RANK_RECOVERY,1,0,1,0,PRICE_RECOVERY_RANK_RECOVERY,RESPONDS,RESPONDS,-0.17448545437564922,0.03278137465627285,HIGH_BREADTH_HIGH_DISP,1.0,1.0,1.0,0.04800000000000004
2024-01-26 23:59:59,90,918,751-1000,-0.06825525,0.029741425,0.011270048,-0.021306034,-0.01067245,-0.009710327,0.0016459563,0.09867086,0.15965396,0.21957238,0.32549217,-39.0,-6.0,-22.0,-15.0,9.0,,,3672,7.0427456,2.0,SHORT_HOT_MEDIUM_COLD,0.164,0.2242483877478927,0.04844654,0.047154658,0.022315595,2.2949557,-1,1,ISOLATED,ISOLATED_DOWNSIDE_EXTREME,0.020917391,1,2024,LF2EV_90_20240126,LATE_RECOVERY,RANK_DETERIORATING,-2.0,RANK_CONTINUED_DETERIORATION,1,0,0,1,PRICE_RECOVERY_RANK_DECAY,WEAK_RESPONSE,WEAK_DELAYED,-0.03632852719656199,0.04844653849291691,LOW_BREADTH_LOW_DISP,6.0,0.0,0.0,0.35
2024-02-10 23:59:59,90,928,751-1000,-0.13156913,0.032811906,0.075965665,0.1365959,0.1305786,0.19821559,0.18471393,0.26444337,0.2576346,0.39642653,0.5747116,-40.0,-10.0,-3.0,-18.0,-43.0,,,3687,7.0471725,2.0,SHORT_COLD_MEDIUM_COLD,0.284,0.22286722184095528,0.036483712,0.013236779,0.005512586,4.0097985,-1,1,ISOLATED,ISOLATED_DOWNSIDE_EXTREME,2.127743,1,2024,LF2EV_90_20240210,EARLY_1SIGMA_RECOVERY,RANK_DETERIORATING,26.0,RANK_RECOVERY,1,0,1,0,PRICE_RECOVERY_RANK_RECOVERY,RESPONDS,RESPONDS,0.0037261681259196933,0.03648371149361249,LOW_BREADTH_LOW_DISP,1.0,1.0,1.0,0.752
