analysis,landmark_d,n_days,fwd7_prop,fwd14_prop,p_leave_next,fwd7_reentry,fwd7_band_up,fwd7_isol_dn,p_btc_up,p_vol_high,var,long_lived_med,short_lived_med,diff,ranksum_p,n_long,n_short
landmark,1.0,770,0.4844155844155844,0.45714285714285713,0.1025974025974026,0.24805194805194805,56.9038961038961,0.4896103896103896,0.8532467532467533,0.36753246753246754,,,,,,,
landmark,3.0,633,0.5371248025276462,0.48973143759873616,0.0679304897314376,0.21642969984202212,57.90047393364929,0.5181674565560821,0.8578199052132701,0.40442338072669826,,,,,,,
landmark,5.0,553,0.5678119349005425,0.515370705244123,0.059674502712477394,0.19168173598553345,59.17902350813743,0.5280289330922242,0.8553345388788427,0.4358047016274864,,,,,,,
landmark,7.0,491,0.5906313645621182,0.5376782077393075,0.05295315682281059,0.17311608961303462,59.35845213849287,0.5295315682281059,0.8472505091649695,0.45621181262729127,,,,,,,
landmark,10.0,420,0.6214285714285714,0.5571428571428572,0.04523809523809524,0.15,58.385714285714286,0.5428571428571428,0.8380952380952381,0.48333333333333334,,,,,,,
landmark,15.0,341,0.6656891495601173,0.5278592375366569,0.04105571847507331,0.10263929618768329,55.369501466275665,0.5454545454545454,0.8181818181818182,0.5366568914956011,,,,,,,
episode_entry,,79,,,,,,,,,top500_breadth_30d,0.683,0.43,0.25300000000000006,0.002013376595994625,26.0,53.0
episode_entry,,79,,,,,,,,,top500_dispersion_30d,0.4923172173670154,0.3690228393750648,0.12329437799195059,0.012647105070597846,26.0,53.0
episode_entry,,79,,,,,,,,,rank_depth_rel,-0.02022036192148391,-0.03151623927334013,0.01129587735185622,0.9500852661117193,26.0,53.0
episode_entry,,79,,,,,,,,,top3_share,0.7229425510657751,0.7236353897588619,-0.0006928386930867836,0.6840828550211284,26.0,53.0
episode_entry,,79,,,,,,,,,btc_return_30d,0.19924322195719213,0.07844516051913941,0.12079806143805272,0.00031885058741922315,26.0,53.0
episode_entry,,79,,,,,,,,,vol_med,0.04652484706294932,0.042757933125252855,0.003766913937696466,0.27789441113825253,26.0,53.0
within_episode,,19,,,,,,,,,fwd7_prop_early_vs_mature,0.375,0.0,0.375,0.19388688150843592,19.0,19.0
