dur_bucket,n_episodes,n_subperiods,median_dwell,med_top500_breadth_30d,med_top500_dispersion_30d,med_rank_depth_rel,med_top3_share,med_btc_return_30d,med_vol_med,med_breadth_vel,med_disp_vel
1-2D,36,5,1.0,0.419,0.34984085780646235,-0.01907065613727585,0.7213680308476343,0.05615839048757865,0.04277253998851191,0.047000000000000014,0.06689284641776579
3-5D,14,5,4.0,0.44,0.39001215618148743,-0.041885548780963566,0.7242784532641359,0.10064101642070311,0.04291721406797262,0.16799999999999998,0.03321079977322222
6-10D,11,5,8.0,0.598,0.4672077661496864,-0.07581174247683198,0.7154782260197752,0.118657100773776,0.0416574611331772,0.039999999999999925,0.0008680101928972561
21D+,10,4,43.5,0.616,0.7062501063660268,-0.04323591210768882,0.7188987428512031,0.32013131809615425,0.05023579683590068,0.0020000000000000018,0.17969737410251874
