group,n_events,n_dates,reversal_rate,med_fwd7_sigma,p_isolated_down,p_coord_up,cell_mode,cell_counts,median_age_in_cell,median_rank_depth_rel,p_cross_recovery_rank_decay,subperiods,reversal_ranksum_p
SHMC,23364,2145,0.5827341208697141,-0.17857712507247925,0.002182845403184386,0.8245163499400787,LOW_BREADTH_LOW_DISP,"{'LOW_BREADTH_LOW_DISP': 10523, 'HIGH_BREADTH_HIGH_DISP': 6389}",8.0,-0.03128836519395062,0.00047080979284369113,5,7.055436287629969e-07
SHHM,79755,2154,0.5614318851482666,-0.17517516016960144,0.0017302990408124882,0.8829415083693812,HIGH_BREADTH_HIGH_DISP,"{'HIGH_BREADTH_HIGH_DISP': 41205, 'LOW_BREADTH_LOW_DISP': 18766}",8.0,-0.032699170645904996,0.0005391511503980941,5,7.055436287629969e-07
