cell,age_d,n_days,p_stay_next,p_leave_next,exit_dest_mode,p_leave_next_day,fwd3_prop,fwd7_prop,fwd14_prop,fwd7_reentry,fwd7_mixed,fwd7_isol_dn,fwd7_band_up,fwd7_rank_depth,fwd7_top3_chg,p_btc_up,p_vol_high,p_conc_rising,breadth_level,dispersion_level,subperiods,p_stay_smooth,fwd7_prop_smooth,p_leave_smooth
HIGH_BREADTH_HIGH_DISP,1,79,0.7341772151898734,0.26582278481012656,HIGH_BREADTH_LOW_DISP,0.26582278481012656,,0.22784810126582278,,0.4177215189873418,0.22784810126582278,0.34177215189873417,52.30379746835443,-0.0448892482262163,0.0032572053378131798,0.8227848101265823,0.189873417721519,0.6075949367088608,0.5373417721518988,1.831054141197253,5,0.7341772151898734,0.22784810126582278,0.26582278481012656
HIGH_BREADTH_HIGH_DISP,2,58,0.7413793103448276,0.2586206896551724,HIGH_BREADTH_LOW_DISP,0.2586206896551724,,0.25862068965517243,,0.3620689655172414,0.27586206896551724,0.3793103448275862,52.29310344827586,-0.04284958137712453,0.0015929664285005093,0.8448275862068966,0.20689655172413793,0.5689655172413793,0.5728275862068964,2.1277106034564026,5,0.7377782627673506,0.2432343954604976,0.26222173723264947
HIGH_BREADTH_HIGH_DISP,3,43,0.8604651162790697,0.13953488372093026,HIGH_BREADTH_LOW_DISP,0.13953488372093026,,0.32558139534883723,,0.37209302325581395,0.23255813953488372,0.5348837209302325,50.79069767441861,-0.050418141085756464,4.205631451175605e-06,0.8604651162790697,0.18604651162790697,0.5581395348837209,0.5709302325581395,2.21297479456181,5,0.7786738806045902,0.27068339542327746,0.22132611939540972
HIGH_BREADTH_HIGH_DISP,4,37,0.8918918918918919,0.10810810810810811,HIGH_BREADTH_LOW_DISP,0.10810810810810811,,0.32432432432432434,,0.40540540540540543,0.1891891891891892,0.35135135135135137,47.054054054054056,-0.054028919460943584,-0.0017700155282004354,0.8918918918918919,0.1891891891891892,0.5405405405405406,0.6156756756756757,0.7870980255727187,5,0.8312454395052632,0.302842136442778,0.16875456049473692
HIGH_BREADTH_HIGH_DISP,5,33,0.8787878787878788,0.12121212121212122,LOW_BREADTH_HIGH_DISP,0.12121212121212122,,0.3939393939393939,,0.30303030303030304,0.24242424242424243,0.6060606060606061,56.24242424242424,-0.06280648972041865,0.00110200559150609,0.9090909090909091,0.24242424242424243,0.5151515151515151,0.6186666666666667,0.7085029893673597,5,0.8770482956529468,0.34794837120418515,0.1229517043470532
HIGH_BREADTH_HIGH_DISP,6,29,0.896551724137931,0.10344827586206895,LOW_BREADTH_HIGH_DISP,0.10344827586206895,,0.3793103448275862,,0.3793103448275862,0.2413793103448276,0.41379310344827586,59.48275862068965,-0.0656699905470636,-0.001507427622364317,0.9310344827586207,0.3103448275862069,0.4482758620689655,0.648896551724138,0.6752441756027361,5,0.8890771649392338,0.3658580210304348,0.1109228350607661
HIGH_BREADTH_HIGH_DISP,7,26,0.9230769230769231,0.07692307692307687,LOW_BREADTH_LOW_DISP,0.07692307692307687,,0.4230769230769231,,0.34615384615384615,0.23076923076923078,0.5769230769230769,54.42307692307692,-0.07316788148847427,0.002612903158057127,0.9230769230769231,0.34615384615384615,0.5,0.658,3.039061267920915,5,0.8994721753342443,0.39877555394796776,0.10052782466575567
HIGH_BREADTH_HIGH_DISP,8,24,0.875,0.125,HIGH_BREADTH_LOW_DISP,0.125,,0.4583333333333333,,0.25,0.2916666666666667,0.375,67.95833333333334,-0.06425438245020924,0.00028850491168722997,0.875,0.2916666666666667,0.4583333333333333,0.65025,0.8527809037294997,5,0.898209549071618,0.42024020041261423,0.10179045092838195
HIGH_BREADTH_HIGH_DISP,9,21,0.9047619047619048,0.09523809523809523,HIGH_BREADTH_LOW_DISP,0.09523809523809523,,0.3333333333333333,,0.3333333333333333,0.2857142857142857,0.38095238095238093,75.0952380952381,-0.07572033207037536,0.00013162724819891833,0.9047619047619048,0.23809523809523808,0.5238095238095238,0.6452380952380953,0.9876222637371492,5,0.900946275946276,0.40491452991452986,0.09905372405372403
HIGH_BREADTH_HIGH_DISP,10,19,0.9473684210526315,0.052631578947368474,LOW_BREADTH_LOW_DISP,0.052631578947368474,,0.3157894736842105,,0.3684210526315789,0.3157894736842105,0.631578947368421,64.36842105263159,-0.06941161022579848,-0.004108259907590696,0.8947368421052632,0.21052631578947367,0.5263157894736842,0.6607368421052633,0.7839738944056336,5,0.9090434419381787,0.36915204678362573,0.09095655806182124
