vel_class,n,median_brd_delta,median_disp_delta,median_dist_prior,median_days_near,median_overshoot,fwd7_prop,fwd7_reentry,fwd7_isol_dn,fwd7_band_up,subperiods,soft_vs_hard_prop_p
SOFT_CROSS,16,-0.0050000000000000044,0.007396556716924296,0.0020000000000000018,3.0,0.202,0.25,0.25,0.375,69.8125,4,0.3809463628251857
MODERATE_CROSS,47,-0.018000000000000016,-0.007778179170692234,0.0,2.0,0.20400000000000001,0.2127659574468085,0.2978723404255319,0.5319148936170213,38.340425531914896,5,0.3809463628251857
HARD_CROSS,219,-0.0020000000000000018,-0.003245660926638222,0.0,1.0,0.186,0.1187214611872146,0.3607305936073059,0.410958904109589,46.082191780821915,5,0.3809463628251857
