metric,region,mean_dX_mag,outside_dX_mag,n,median_dwell,net_drift_brd,net_drift_disp,mean_2step_ratio,young_dX_mag,mature_dX_mag,ranksum_p
attractor,HIGH_BREADTH_HIGH_DISP,0.7666098046052616,0.6039238460159982,770,,,,,,,
attractor,HIGH_BREADTH_LOW_DISP,0.7038102335851605,0.6534719141693514,327,,,,,,,
attractor,LOW_BREADTH_HIGH_DISP,0.7929679174153764,0.6421497110265618,274,,,,,,,
attractor,LOW_BREADTH_LOW_DISP,0.5015469680783672,0.7568991285924231,825,,,,,,,
corridor,HIGH_BREADTH_LOW_DISP,0.7038102335851605,,327,3.0,0.0005582822085889572,-8.222856884368293e-06,,,,
corridor,LOW_BREADTH_HIGH_DISP,0.7929679174153764,,274,4.0,5.1282051282051076e-05,-0.0005751287874839564,,,,
loop,ALL,0.660967647524984,,2196,,,,1.7664045860206796,,,
hh_age_stability,HIGH_BREADTH_HIGH_DISP,,,770,,,,,1.0378840677567684,0.6299168081533336,1.1482024405540627e-13
