target,liq_bucket,n,value,subperiods
p_PRICE_UP_RANK_DOWN,LOW_LIQ,75,0.24,5
p_PRICE_UP_RANK_UP,LOW_LIQ,75,0.44,5
p_PRICE_DECAY_RANK_DECAY,LOW_LIQ,75,0.24,5
p_PRICE_UP_RANK_DOWN,MID_LIQ,266,0.24812030075187969,5
p_PRICE_UP_RANK_UP,MID_LIQ,266,0.38721804511278196,5
p_PRICE_DECAY_RANK_DECAY,MID_LIQ,266,0.2857142857142857,5
p_PRICE_UP_RANK_DOWN,HIGH_LIQ,682,0.2903225806451613,5
p_PRICE_UP_RANK_UP,HIGH_LIQ,682,0.29765395894428154,5
p_PRICE_DECAY_RANK_DECAY,HIGH_LIQ,682,0.29178885630498536,5
median_price_recovery_d,LOW_LIQ,51,1.0,5
median_price_recovery_d,MID_LIQ,161,1.0,5
median_price_recovery_d,HIGH_LIQ,331,1.0,5
HH_fwd7_prop,MID_LIQ_FIELD,103,0.5436893203883495,5
HH_fwd7_prop,HIGH_LIQ_FIELD,204,0.5098039215686274,5
