dimension,value
n_events,282
n_subperiods,5
median_fwd_rank_vel_7d,-25.500
median_fwd_rank_vel_30d,-27.000
p_price_relapse_30d,0.099
p_rank_recovers_30d,0.316
median_top500_breadth_30d,0.388
median_top500_dispersion_30d,0.341
median_rank_depth_rel,-0.031
median_top3_share,0.716
median_btc_return_30d,0.054
median_vol_med,0.051
p_cell_HIGH_BREADTH_HIGH_DISP,0.397
p_cell_HIGH_BREADTH_LOW_DISP,0.163
p_cell_LOW_BREADTH_HIGH_DISP,0.128
p_cell_LOW_BREADTH_LOW_DISP,0.312
median_age_in_cell,7.000
top500_breadth_30d_vs_other_p,0.046
top500_dispersion_30d_vs_other_p,0.026
