response_class,n,med_pre_rank_vel7,med_drawdown_proxy,med_breadth30,med_disp30,med_vol,med_btc_ret1,med_field_imp_max14,p_btc_up,p_risk_on,cell_mode,p_rank_recovers_7d,med_fwd7_sigma,subperiods
RESPONDS,382,-52.0,-2.8118343353271484,0.359,0.33275796598353585,0.05282170302625434,0.00848403386771679,0.17200000000000001,0.5549738219895288,0.6308900523560209,HIGH_BREADTH_HIGH_DISP,0.6465968586387435,0.980366587638855,5
WEAK_DELAYED,80,-45.0,-2.4443199634552,0.353,0.3090409231755644,0.05156568666383709,-0.00020672102982643992,0.22199999999999998,0.6125,0.6125,HIGH_BREADTH_HIGH_DISP,0.225,-0.1511613428592682,5
NO_RESPONSE,210,-47.0,-2.87764835357666,0.309,0.3074909752378171,0.05030740174374652,0.0051863305270671844,0.129,0.49047619047619045,0.5714285714285714,LOW_BREADTH_LOW_DISP,0.13333333333333333,-0.7245712280273438,5
