vol_tile,n_days,HH_p_stay,HH_n,HH_fwd7_prop,HH_median_dwell,transition_velocity,fwd7_isol_dn,fwd7_band_up,p_btc_up,subperiods
VOL_LO,709,0.8300970873786407,206,0.3058252427184466,4.5,0.16382857142857143,0.3314527503526093,49.41889985895628,0.5768688293370945,5
VOL_MID,708,0.8901960784313725,255,0.5254901960784314,11.0,0.16114516129032255,0.4774011299435028,47.002824858757066,0.6059322033898306,5
VOL_HI,709,0.9498327759197325,299,0.5886287625418061,30.0,0.12245454545454547,0.5937940761636107,42.868829337094496,0.3935119887165021,4
