perturbation,cell,n_treated,n_control,p_stay_treated,p_stay_control,delta_stay,fwd7_prop_treated,fwd7_prop_control,delta_prop,median_recovery_d,subperiods_treated
brd_jump,HIGH_BREADTH_HIGH_DISP,286,484,0.8741258741258742,0.9111570247933884,-0.03703115066751428,0.40559440559440557,0.53099173553719,-0.12539732994278446,1.0,5
brd_jump,HIGH_BREADTH_LOW_DISP,198,129,0.7626262626262627,0.7209302325581395,0.04169603006812317,0.1919191919191919,0.24806201550387597,-0.05614282358468406,1.0,5
brd_jump,LOW_BREADTH_HIGH_DISP,39,235,0.6666666666666666,0.774468085106383,-0.10780141843971636,0.05128205128205128,0.08085106382978724,-0.02956901254773596,1.0,5
brd_jump,LOW_BREADTH_LOW_DISP,125,700,0.776,0.8928571428571429,-0.11685714285714288,0.104,0.054285714285714284,0.04971428571428571,1.0,5
brd_drop,HIGH_BREADTH_HIGH_DISP,227,543,0.8854625550660793,0.9023941068139963,-0.01693155174791705,0.4185022026431718,0.5119705340699816,-0.09346833142680983,1.0,5
brd_drop,HIGH_BREADTH_LOW_DISP,96,231,0.7708333333333334,0.7359307359307359,0.03490259740259749,0.22916666666666666,0.2077922077922078,0.02137445887445885,1.0,4
brd_drop,LOW_BREADTH_HIGH_DISP,128,146,0.75,0.7671232876712328,-0.017123287671232834,0.0625,0.08904109589041095,-0.026541095890410954,1.0,5
brd_drop,LOW_BREADTH_LOW_DISP,281,544,0.8398576512455516,0.8933823529411765,-0.053524701695624954,0.060498220640569395,0.0625,-0.0020017793594306055,1.0,5
disp_jump,HIGH_BREADTH_HIGH_DISP,343,427,0.8950437317784257,0.8992974238875878,-0.004253692109162155,0.5393586005830904,0.44028103044496486,0.09907757013812551,1.0,5
disp_jump,HIGH_BREADTH_LOW_DISP,58,269,0.7413793103448276,0.7472118959107806,-0.005832585565953008,0.27586206896551724,0.20074349442379183,0.07511857454172541,1.0,4
disp_jump,LOW_BREADTH_HIGH_DISP,113,161,0.7079646017699115,0.7950310559006211,-0.08706645413070957,0.07964601769911504,0.07453416149068323,0.005111856208431811,1.0,5
disp_jump,LOW_BREADTH_LOW_DISP,51,774,0.7058823529411765,0.8863049095607235,-0.18042255661954698,0.1568627450980392,0.05555555555555555,0.10130718954248366,1.0,5
disp_drop,HIGH_BREADTH_HIGH_DISP,245,525,0.8979591836734694,0.8971428571428571,0.0008163265306122547,0.45714285714285713,0.49714285714285716,-0.040000000000000036,1.0,5
disp_drop,HIGH_BREADTH_LOW_DISP,56,271,0.7142857142857143,0.7527675276752768,-0.03848181338956247,0.30357142857142855,0.19557195571955718,0.10799947285187136,1.0,5
disp_drop,LOW_BREADTH_HIGH_DISP,90,184,0.8111111111111111,0.7336956521739131,0.07741545893719803,0.06666666666666667,0.08152173913043478,-0.014855072463768118,1.0,5
disp_drop,LOW_BREADTH_LOW_DISP,198,627,0.898989898989899,0.8676236044657097,0.031366294524189264,0.045454545454545456,0.06698564593301436,-0.0215311004784689,1.0,5
btc_shock,HIGH_BREADTH_HIGH_DISP,228,542,0.9122807017543859,0.8911439114391144,0.021136790315271492,0.4780701754385965,0.4870848708487085,-0.009014695410112017,1.0,5
btc_shock,HIGH_BREADTH_LOW_DISP,71,256,0.7887323943661971,0.734375,0.05435739436619713,0.2676056338028169,0.19921875,0.06838688380281688,1.0,5
btc_shock,LOW_BREADTH_HIGH_DISP,71,203,0.7746478873239436,0.7536945812807881,0.020953306043155484,0.056338028169014086,0.08374384236453201,-0.02740581419551793,1.0,5
btc_shock,LOW_BREADTH_LOW_DISP,155,670,0.8774193548387097,0.8746268656716418,0.0027924891670678686,0.04516129032258064,0.06567164179104477,-0.02051035146846413,1.0,5
conc_shock,HIGH_BREADTH_HIGH_DISP,92,678,0.9021739130434783,0.8967551622418879,0.005418750801590377,0.5108695652173914,0.4808259587020649,0.03004360651532645,1.0,4
conc_shock,HIGH_BREADTH_LOW_DISP,46,281,0.6956521739130435,0.7544483985765125,-0.05879622466346901,0.34782608695652173,0.19217081850533807,0.15565526845118366,1.0,3
conc_shock,LOW_BREADTH_HIGH_DISP,48,226,0.8541666666666666,0.7389380530973452,0.11522861356932146,0.020833333333333332,0.08849557522123894,-0.06766224188790561,1.0,4
conc_shock,LOW_BREADTH_LOW_DISP,124,701,0.8629032258064516,0.8773181169757489,-0.014414891169297284,0.056451612903225805,0.06276747503566334,-0.006315862132437532,1.0,5
vol_shock,HIGH_BREADTH_HIGH_DISP,107,663,0.8785046728971962,0.9004524886877828,-0.021947815790586578,0.48598130841121495,0.4841628959276018,0.001818412483613141,1.0,5
vol_shock,HIGH_BREADTH_LOW_DISP,39,288,0.7692307692307693,0.7430555555555556,0.026175213675213693,0.02564102564102564,0.23958333333333334,-0.2139423076923077,1.0,4
vol_shock,LOW_BREADTH_HIGH_DISP,47,227,0.8297872340425532,0.7444933920704846,0.08529384197206857,0.02127659574468085,0.0881057268722467,-0.06682913112756585,1.0,5
vol_shock,LOW_BREADTH_LOW_DISP,80,745,0.7875,0.8845637583892617,-0.09706375838926173,0.0625,0.06174496644295302,0.0007550335570469802,1.0,5
