model,n_features,cv_logloss,cv_brier,cv_auc,full_logloss,perm_p,delta_logloss,delta_brier,delta_auc
M0_current_state,10,0.3749,0.1125,0.8575,0.35853,0.002,,,
M1_breadth,14,0.3576,0.1056,0.8633,0.34003,0.002,0.0173,0.0069,0.0058
M2_volatility,15,0.35762,0.1056,0.8633,0.34003,0.002,-2e-05,0.0,0.0
M3_rank_participation,18,0.32333,0.0944,0.8912,0.30446,0.002,0.03429,0.0112,0.0279
M4_conc_btc_eth,23,0.32324,0.09438,0.8891,0.30373,0.002,9e-05,2e-05,-0.0021
M5_timing,24,0.35304,0.1049,0.8672,0.30379,0.002,-0.0298,-0.01052,-0.0219
M6_chain_sector,26,0.35312,0.10496,0.8689,0.30374,0.002,-8e-05,-6e-05,0.0017
