window,variable,n_suc,n_fail,median_suc,median_fail,p_raw,p_fdr
0-1D,top500_breadth_30d,27,96,-0.002,0.017,0.400815,0.601222
0-1D,vol_med,27,94,0.00043,-3e-05,0.150417,0.280972
0-1D,btc_return_7d,26,91,0.00743,-0.00465,0.168583,0.280972
1-3D,top500_breadth_30d,27,96,0.006,-0.015,0.044725,0.111812
1-3D,vol_med,27,94,0.00062,-0.00013,0.019569,0.058707
1-3D,btc_return_7d,24,91,-0.00561,-0.01058,0.912316,0.914844
3-7D,top500_breadth_30d,27,96,0.002,0.009,0.914844,0.914844
3-7D,vol_med,27,94,0.00036,-0.0003,0.485652,0.607065
3-7D,btc_return_7d,23,92,-0.04717,0.00394,0.014678,0.058707
7-14D,top500_breadth_30d,27,94,-0.024,0.025,0.017111,0.058707
7-14D,vol_med,27,91,0.00269,2e-05,0.005376,0.04032
7-14D,btc_return_7d,25,90,-0.03127,0.00894,0.160441,0.280972
14-30D,top500_breadth_30d,27,94,-0.262,0.002,0.0,0.0
14-30D,vol_med,27,90,0.00212,0.00061,0.476709,0.607065
14-30D,btc_return_7d,24,92,-0.04003,-0.00804,0.822048,0.914844
