event_id,exit_date,first_destination,days_to_destination,motif,state_tp1,state_tp3,state_tp5,state_tp7,state_tp14,state_tp30,top500_breadth_30d_tp1,top500_breadth_30d_tp3,top500_breadth_30d_tp5,top500_breadth_30d_tp7,top500_breadth_30d_tp14,top500_breadth_30d_tp30,vol_med_tp1,vol_med_tp3,vol_med_tp5,vol_med_tp7,vol_med_tp14,vol_med_tp30,top3_share_chg7_tp1,top3_share_chg7_tp3,top3_share_chg7_tp5,top3_share_chg7_tp7,top3_share_chg7_tp14,top3_share_chg7_tp30,btc_return_7d_tp1,btc_return_7d_tp3,btc_return_7d_tp5,btc_return_7d_tp7,btc_return_7d_tp14,btc_return_7d_tp30,med_ret30_51_200_tp1,med_ret30_51_200_tp3,med_ret30_51_200_tp5,med_ret30_51_200_tp7,med_ret30_51_200_tp14,med_ret30_51_200_tp30
EXIT_000,2020-10-04,MIXED_NO_CLEAR_ROUTE,1,BREADTH_DIVERSITY_NO_ROUTE,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,BTC_CONCENTRATION,BTC_CONCENTRATION,0.3,0.184,0.254,0.224,0.222,0.596,0.0551,0.05488,0.0562,0.054,0.05356,,0.00562,0.00754,0.00093,0.00599,0.00776,0.01258,0.00781,-0.01071,0.04619,0.06698,0.00871,0.09884,-0.07029,-0.15352,-0.10853,-0.14607,-0.11644,0.12319
EXIT_001,2020-10-12,BTC_CONCENTRATION,5,MID_SNAPBACK,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,BTC_CONCENTRATION,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,0.264,0.252,0.224,0.194,0.298,0.0,0.05344,0.05341,0.05381,0.05295,0.04608,,0.00091,0.00396,0.00756,0.10724,0.01447,-0.00187,0.07747,0.0531,0.00547,0.01615,0.11354,-0.01593,-0.1087,-0.1218,-0.13931,-0.13638,-0.11131,
EXIT_002,2020-10-15,BTC_CONCENTRATION,2,EARLY_SNAPBACK,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,BTC_CONCENTRATION,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,0.212,0.222,0.212,0.35,0.344,0.0,0.05345,0.05356,0.05352,0.04972,,,0.00925,0.00776,0.01787,0.01994,0.12379,-0.0231,0.02329,0.00871,0.04292,0.12792,,0.09302,-0.13992,-0.11644,-0.14605,-0.04382,0.00433,
EXIT_003,2020-11-17,BTC_CONCENTRATION,1,EARLY_SNAPBACK,BTC_CONCENTRATION,BTC_CONCENTRATION,BTC_CONCENTRATION,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,0.494,0.564,0.596,0.664,0.0,0.0,,,,,,0.06398,0.03219,0.02492,0.01258,-0.10457,-0.02357,0.01586,,,0.09884,,0.02504,0.28125,0.04525,0.06889,0.12319,0.2293,,
EXIT_004,2020-11-27,MIXED_NO_CLEAR_ROUTE,1,STABLE_NO_ROUTE,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,0.0,0.0,0.0,0.0,0.0,0.478,,,,,0.06941,0.06018,-0.00453,0.0797,-0.02357,-0.0231,0.03125,0.02333,-0.04961,0.06871,0.02504,0.09302,-0.03427,0.11905,,,,,,-0.00536
EXIT_005,2020-12-18,BTC_CONCENTRATION,1,EARLY_SNAPBACK,BTC_CONCENTRATION,BTC_CONCENTRATION,BTC_CONCENTRATION,BTC_CONCENTRATION,BTC_CONCENTRATION,BTC_CONCENTRATION,0.69,0.498,0.32,0.348,0.418,0.674,0.0635,0.06214,0.065,0.06377,0.05988,0.07928,0.01746,0.01956,0.03121,0.01339,0.01638,-0.01934,0.26942,0.18478,0.0906,0.06599,0.19093,0.06329,0.18805,0.00687,-0.13831,-0.12964,-0.06681,0.36849
EXIT_006,2021-01-20,ETH_BROADENING,2,SUCCESS,MIXED_NO_CLEAR_ROUTE,ETH_BROADENING,ETH_BROADENING,ETH_BROADENING,BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,0.608,0.684,0.672,0.658,0.728,0.768,0.08245,0.07789,0.07698,0.07969,0.08413,0.09247,-0.01962,-0.0238,-0.00846,-0.00862,-0.00751,0.00543,-0.21338,,-0.1164,-0.1439,0.23132,0.17647,0.22737,0.45547,0.43589,0.31125,0.5448,1.24227
EXIT_007,2021-06-30,MIXED_NO_CLEAR_ROUTE,8,BREADTH_DIVERSITY_NO_ROUTE,MIXED_NO_CLEAR_ROUTE,STABLECOIN_PARKING,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,STABLECOIN_PARKING,BTC_CONCENTRATION,0.0,0.086,0.146,0.212,0.136,0.558,0.08025,0.07824,0.07761,0.07627,0.0727,0.05406,-0.00162,-0.00228,-0.00724,-0.00597,0.00069,0.01781,-0.03146,0.07712,-0.01999,-0.03383,-0.03051,0.2577,,-0.30715,-0.24058,-0.13462,-0.20438,0.0632
EXIT_008,2021-07-08,STABLECOIN_PARKING,5,UNCLASSIFIED,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,STABLECOIN_PARKING,STABLECOIN_PARKING,ETH_BROADENING,BTC_CONCENTRATION,0.14,0.204,0.182,0.112,0.52,0.794,0.07554,0.07454,0.07341,0.07285,0.06128,0.05088,-0.00343,-0.00243,-0.00266,-0.00567,0.01013,0.0,-0.00292,-0.02969,-0.04478,-0.03336,0.01675,0.07038,-0.22133,-0.11338,-0.17851,-0.23476,0.06349,0.25991
EXIT_009,2021-08-11,BROAD_RISK_EXPANSION,4,SUCCESS,MIXED_NO_CLEAR_ROUTE,ETH_BROADENING,BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,MIXED_NO_CLEAR_ROUTE,0.834,0.86,0.852,0.862,0.852,0.52,0.0533,0.05438,0.0538,0.05366,0.05611,0.07003,-0.01343,-0.02375,-0.03733,-0.02382,0.00324,-0.02692,0.08708,0.05703,-0.00778,-0.01738,0.09285,-0.10278,0.34892,0.52187,0.61377,0.5996,0.5737,0.02104
