variable,horizon_d,n_success,n_failure,median_success,median_failure,delta,rank_biserial_r,p_raw,p_fdr,significant_fdr
top500_breadth_30d,0,27,96,0.762,0.214,0.548,0.5352,0.0,0.0,True
top500_breadth_30d,1,27,96,0.758,0.283,0.475,0.5325,0.0,0.0,True
top500_breadth_30d,2,27,96,0.74,0.267,0.473,0.5413,0.0,0.0,True
top500_breadth_30d,3,27,96,0.746,0.272,0.474,0.6182,0.0,0.0,True
top500_breadth_30d,5,27,96,0.756,0.28,0.476,0.603,0.0,0.0,True
top500_breadth_30d,7,27,96,0.774,0.287,0.487,0.6245,0.0,0.0,True
top500_breadth_30d,10,27,96,0.758,0.3,0.458,0.5036,0.0,0.0,True
top500_breadth_30d,14,27,94,0.73,0.296,0.434,0.4754,0.0,0.0,True
top500_breadth_30d,21,27,94,0.692,0.32,0.372,0.3243,0.000361,0.000927,True
top500_breadth_30d,30,27,94,0.396,0.351,0.045,0.0894,0.325308,0.430291,False
top500_breadth_7d,0,27,96,0.746,0.486,0.26,0.3253,0.000308,0.000824,True
top500_breadth_7d,1,27,96,0.784,0.374,0.41,0.3636,5.5e-05,0.000169,True
top500_breadth_7d,2,27,96,0.736,0.331,0.405,0.4548,0.0,0.0,True
top500_breadth_7d,3,27,96,0.752,0.352,0.4,0.373,3.5e-05,0.000117,True
top500_breadth_7d,5,27,96,0.728,0.355,0.373,0.3639,5.4e-05,0.000168,True
top500_breadth_7d,7,27,96,0.498,0.375,0.123,0.1876,0.037475,0.060857,False
top500_breadth_7d,10,27,96,0.484,0.432,0.052,0.1113,0.217099,0.3033,False
top500_breadth_7d,14,27,94,0.406,0.443,-0.037,-0.0068,0.94045,0.970799,False
top500_breadth_7d,21,27,94,0.454,0.414,0.04,0.0232,0.798538,0.852372,False
top500_breadth_7d,30,27,94,0.226,0.459,-0.233,-0.1989,0.028654,0.047341,True
top500_dispersion_30d,0,25,85,0.42634,0.2846,0.14174,0.2948,0.001988,0.004197,True
top500_dispersion_30d,1,26,93,0.44121,0.30305,0.13816,0.2452,0.007467,0.013909,True
